MJD,Magnitude,Error,Facility,Filter,Observer
57842.15565000009,19.4358,0.0544,SAAO_KMTS19,KMT(I),KMT
57842.9764899998,19.1554,0.0594,SAAO_KMTS19,KMT(I),KMT
57842.98097999999,17.4468,0.6085,SAAO_KMTS19,KMT(I),KMT
57843.08322999999,17.6287,0.6481,SAAO_KMTS19,KMT(I),KMT
57843.974239999894,19.1723,0.0667,SAAO_KMTS19,KMT(I),KMT
57844.02902999986,19.184,0.0644,SAAO_KMTS19,KMT(I),KMT
57844.076570000034,19.4133,0.0582,SAAO_KMTS19,KMT(I),KMT
57844.130700000096,19.2536,0.056,SAAO_KMTS19,KMT(I),KMT
57844.97322000004,19.1407,0.0616,SAAO_KMTS19,KMT(I),KMT
57845.0014200001,19.2869,0.0551,SAAO_KMTS19,KMT(I),KMT
57845.05658000009,19.2755,0.0538,SAAO_KMTS19,KMT(I),KMT
57845.11940999981,19.3824,0.0558,SAAO_KMTS19,KMT(I),KMT
57845.96877000015,19.2144,0.0529,SAAO_KMTS19,KMT(I),KMT
57845.98677999992,19.219,0.0535,SAAO_KMTS19,KMT(I),KMT
57846.03636999987,19.3088,0.052,SAAO_KMTS19,KMT(I),KMT
57846.09445000021,19.3362,0.0522,SAAO_KMTS19,KMT(I),KMT
57846.14375999989,19.3191,0.0472,SAAO_KMTS19,KMT(I),KMT
57846.964980000164,19.2356,0.0616,SAAO_KMTS19,KMT(I),KMT
57847.02559999982,19.818,0.1433,SAAO_KMTS19,KMT(I),KMT
57847.02981000021,19.2612,0.0417,SAAO_KMTS19,KMT(I),KMT
57847.081079999916,19.3491,0.0589,SAAO_KMTS19,KMT(I),KMT
57847.132100000046,19.3292,0.0443,SAAO_KMTS19,KMT(I),KMT
57847.963010000065,19.4684,0.1272,SAAO_KMTS19,KMT(I),KMT
57848.01118999999,19.1634,0.0619,SAAO_KMTS19,KMT(I),KMT
57848.06336000003,19.1874,0.076,SAAO_KMTS19,KMT(I),KMT
57848.11809,19.1926,0.0833,SAAO_KMTS19,KMT(I),KMT
57852.9487999999,18.8718,0.0646,SAAO_KMTS19,KMT(I),KMT
57852.96598999994,19.1216,0.0747,SAAO_KMTS19,KMT(I),KMT
57853.01585000008,19.0731,0.0514,SAAO_KMTS19,KMT(I),KMT
57853.07429999998,19.2318,0.0721,SAAO_KMTS19,KMT(I),KMT
57853.12497999985,18.9713,0.0514,SAAO_KMTS19,KMT(I),KMT
57853.94590999978,19.1702,0.0862,SAAO_KMTS19,KMT(I),KMT
57853.97062999988,19.038,0.0729,SAAO_KMTS19,KMT(I),KMT
57854.02210000018,19.0438,0.0672,SAAO_KMTS19,KMT(I),KMT
57854.07182000019,19.2183,0.0837,SAAO_KMTS19,KMT(I),KMT
57854.128479999956,19.1758,0.0711,SAAO_KMTS19,KMT(I),KMT
57854.1315700002,19.3415,0.0686,SAAO_KMTS19,KMT(I),KMT
57854.943299999926,19.1222,0.1493,SAAO_KMTS19,KMT(I),KMT
57854.96389999986,19.2109,0.0849,SAAO_KMTS19,KMT(I),KMT
57855.02126999991,19.3057,0.0744,SAAO_KMTS19,KMT(I),KMT
57855.07611999987,19.0737,0.0588,SAAO_KMTS19,KMT(I),KMT
57855.12509000022,19.1564,0.0553,SAAO_KMTS19,KMT(I),KMT
57855.941649999935,19.9444,0.6586,SAAO_KMTS19,KMT(I),KMT
57858.96853000019,19.1426,0.2189,SAAO_KMTS19,KMT(I),KMT
57859.01676000003,19.1779,0.2149,SAAO_KMTS19,KMT(I),KMT
57859.07655999996,19.2592,0.1919,SAAO_KMTS19,KMT(I),KMT
57859.129970000125,19.2249,0.2451,SAAO_KMTS19,KMT(I),KMT
57859.93171000015,19.56,0.43,SAAO_KMTS19,KMT(I),KMT
57859.96973000001,19.3012,0.2779,SAAO_KMTS19,KMT(I),KMT
57860.02184000006,19.2597,0.2164,SAAO_KMTS19,KMT(I),KMT
57860.074310000055,19.1028,0.1725,SAAO_KMTS19,KMT(I),KMT
57860.13646000018,19.343,0.2174,SAAO_KMTS19,KMT(I),KMT
57860.930300000124,19.331,0.1116,SAAO_KMTS19,KMT(I),KMT
57860.961230000015,19.1989,0.0922,SAAO_KMTS19,KMT(I),KMT
57861.0182500002,18.9485,0.0733,SAAO_KMTS19,KMT(I),KMT
57861.09865000006,19.0945,0.0528,SAAO_KMTS19,KMT(I),KMT
57861.147290000226,19.0999,0.0471,SAAO_KMTS19,KMT(I),KMT
57861.92646000022,19.0284,0.0412,SAAO_KMTS19,KMT(I),KMT
57861.96786000021,18.9639,0.0507,SAAO_KMTS19,KMT(I),KMT
57862.021029999945,18.9335,0.0445,SAAO_KMTS19,KMT(I),KMT
57862.08002000023,19.0428,0.0421,SAAO_KMTS19,KMT(I),KMT
57862.132900000084,19.0163,0.0367,SAAO_KMTS19,KMT(I),KMT
