Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2025-BLG-0001,BLG01K0303.006782,17:52:40.01,-30:42:01.51,60748.35834,9.99,0.839,17.03,17.04,17.04,1,1.86,MB250060 OB250100
KMT-2025-BLG-0002,BLG01K0506.001741,17:51:52.00,-30:24:32.62,60759.52139,33.64,0.157,16.18,16.17,16.17,1,2.46,MB250002 OB250012 PB250007
KMT-2025-BLG-0003,BLG01M0508.029728,17:56:34.03,-30:11:16.51,60754.7215,41.5,0.266,19.28,18.8,18.8,1,1.6,OB250044
KMT-2025-BLG-0004,BLG01N0207.042917,17:58:11.43,-31:23:59.10,60741.30147,7.2,0.388,19.98,19.77,19.77,1,1.45,
KMT-2025-BLG-0005,SAO01T0201.022200,17:53:35.70,-32:09:57.82,60749.16546,44.48,0.114,19.39,19.39,19.39,1,1.98,MB250046
KMT-2025-BLG-0006,BLG01T0307.043377,17:52:35.01,-31:22:15.31,60744.35171,6.55,0.108,21.52,19.91,19.91,1,2.27,
KMT-2025-BLG-0007,BLG02K0102.077192,17:53:59.88,-28:46:45.70,60747.87465,7.1,0.436,19.85,20.0,20.71,2,2.01,
KMT-2025-BLG-0008,BLG02M0106.007420,17:59:01.00,-28:13:19.42,60755.56607,20.0,0.289,17.1,17.17,17.17,1,1.61,MB250039 OB250036
KMT-2025-BLG-0009,BLG02M0503.021012,17:56:47.16,-28:40:40.12,60750.32434,7.84,0.721,18.33,18.37,18.37,1,1.75,
KMT-2025-BLG-0010,BLG02N0108.064263,17:58:38.08,-29:09:05.62,60744.54598,19.36,0.398,19.13,19.18,19.18,1,1.04,
KMT-2025-BLG-0011,BLG02T0103.080066,17:54:03.01,-29:45:44.50,60745.80036,16.97,0.083,19.79,19.54,19.54,1,1.36,OB250021
KMT-2025-BLG-0012,BLG02T0105.007049,17:53:45.15,-29:27:47.41,60756.03895,13.64,0.449,16.67,16.6,16.6,1,1.77,MB250048 OB250310 PB250024
KMT-2025-BLG-0013,BLG02T0203.032144,17:53:27.13,-29:47:58.81,60747.22564,12.91,0.026,18.98,18.66,18.66,1,1.64,MB250049 OB250023 PB250008
KMT-2025-BLG-0014,BLG02T0206.046866,17:53:20.00,-29:23:25.12,60747.67559,37.57,0.143,20.63,19.35,19.35,1,2.23,OB250026
KMT-2025-BLG-0015,BLG02T0208.043481,17:53:30.85,-29:07:41.70,60744.82433,14.59,0.1,20.45,19.09,19.09,1,2.03,
KMT-2025-BLG-0016,BLG02T0702.008278,17:50:27.29,-29:57:01.58,60771.78381,33.55,0.357,17.72,17.75,17.75,1,3.15,OB250017 PB250028
KMT-2025-BLG-0017,SAO03K0102.042020,18:01:32.64,-27:41:58.99,60745.32018,199.94,0.016,23.14,19.16,19.16,1,1.41,
KMT-2025-BLG-0018,BLG03K0105.023273,18:01:35.25,-27:18:19.91,60736.70191,14.31,0.061,21.09,19.04,19.04,1,1.91,
KMT-2025-BLG-0019,SAO03K0302.008035,18:00:32.78,-27:38:59.71,60742.86956,18.48,0.009,20.59,17.29,17.29,1,1.67,MB250040
