Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2024-BLG-0001,BLG01K0402.004681,17:52:03.98,-30:50:03.59,60389.36254,20.04,0.021,20.12,16.85,16.85,1,2.2,OB240249
KMT-2024-BLG-0002,BLG01K0606.011545,17:51:05.80,-30:19:40.12,60382.91624,14.35,0.873,18.15,18.19,18.19,2,2.63,OB240121
KMT-2024-BLG-0003,BLG01M0802.067235,17:54:39.60,-30:53:13.20,60377.62742,15.26,0.097,20.27,19.93,19.93,1,1.76,
KMT-2024-BLG-0004,SAO01N0703.009695,17:55:42.69,-31:52:16.39,60419.40409,200.0,0.015,17.73,17.96,17.96,1,1.16,OB240091
KMT-2024-BLG-0005,BLG01T0303.003831,17:52:37.19,-31:50:13.60,60376.50802,6.59,0.694,16.72,16.75,16.75,1,2.01,OB240167
KMT-2024-BLG-0006,BLG02M0205.033171,17:58:09.28,-28:26:41.64,60393.96423,22.44,0.174,19.1,18.92,18.92,2,1.62,OB240228
KMT-2024-BLG-0007,BLG02M0306.041620,17:57:27.62,-28:17:37.50,60396.26097,38.11,0.189,19.07,19.08,19.08,1,1.81,OB240361
KMT-2024-BLG-0008,BLG02M0602.045172,17:56:00.32,-28:48:21.71,60372.7615,28.75,0.075,20.39,19.25,19.25,1,1.68,
KMT-2024-BLG-0009,BLG02M0602.059288,17:55:58.66,-28:43:39.79,60383.063,13.6,0.279,19.72,19.56,19.56,1,1.92,
KMT-2024-BLG-0010,BLG02M0604.055331,17:55:47.31,-28:28:48.22,60376.28504,9.84,0.154,19.85,20.0,20.43,2,2.11,
KMT-2024-BLG-0011,BLG02N0404.034837,17:57:15.07,-29:36:46.69,60380.51679,25.99,0.139,20.52,18.98,18.98,1,1.61,
KMT-2024-BLG-0012,BLG02N0602.025898,17:56:08.66,-29:57:24.70,60384.40922,9.02,0.833,18.7,18.8,18.8,1,1.7,
KMT-2024-BLG-0013,BLG02T0108.023554,17:53:42.21,-29:09:36.50,60380.51497,14.03,0.291,19.41,18.15,18.15,1,1.75,OB240221
KMT-2024-BLG-0014,BLG02T0402.076283,17:52:02.71,-29:56:13.49,60377.77358,12.56,0.114,20.46,20.0,20.21,1,2.46,
KMT-2024-BLG-0015,SAO02T0405.002013,17:52:30.98,-29:33:52.49,60371.54674,4.13,0.48,16.1,15.91,15.91,1,2.3,
KMT-2024-BLG-0016,BLG02T0507.005118,17:51:40.22,-29:18:41.80,60381.17152,34.08,0.21,19.92,17.25,17.25,1,2.88,OB240124
KMT-2024-BLG-0017,BLG02T0803.030511,17:49:45.01,-29:43:17.40,60376.01619,17.55,0.01,22.29,20.0,20.1,1,3.48,
KMT-2024-BLG-0018,SAO03K0806.000963,17:57:48.57,-27:14:02.72,60385.24535,26.41,0.407,16.68,16.66,16.66,2,3.13,
KMT-2024-BLG-0019,SAO03M0508.071158,18:03:58.72,-26:56:52.19,60381.44859,199.79,0.013,22.1,20.0,20.16,1,1.47,OB240100
KMT-2024-BLG-0020,BLG03N0102.027388,18:06:29.53,-28:50:17.81,60374.42391,12.08,0.028,18.96,18.74,18.74,1,0.83,
KMT-2024-BLG-0021,BLG03N0404.055257,18:04:40.39,-28:30:51.98,60382.88498,22.58,0.435,19.98,19.27,19.27,1,0.85,
KMT-2024-BLG-0022,BLG03N0805.046883,18:02:24.99,-28:29:28.50,60373.04442,24.5,0.333,19.08,18.95,18.95,1,1.1,OB240104
KMT-2024-BLG-0023,BLG03T0103.024609,18:01:48.91,-28:44:26.59,60381.65538,12.85,0.43,18.63,18.44,18.44,1,1.12,OB240233
KMT-2024-BLG-0024,SSO03T0108.008299,18:01:47.00,-28:03:02.99,60376.16231,25.76,0.139,17.22,17.31,17.31,1,1.26,OB240106
KMT-2024-BLG-0025,SSO03T0405.009387,17:59:46.66,-28:24:02.30,60374.66399,25.98,0.209,18.68,17.36,17.36,1,1.39,OB240079
KMT-2024-BLG-0026,SSO03T0505.008538,17:59:16.21,-28:25:49.01,60378.04916,75.97,0.002,22.71,17.1,17.1,1,1.34,
KMT-2024-BLG-0027,SSO04K0606.000954,18:00:36.95,-29:20:59.32,60457.1244,63.54,0.158,15.0,14.98,14.98,1,1.41,OB240082
KMT-2024-BLG-0028,SSO04M0705.022844,18:04:32.81,-29:22:44.40,60380.38773,22.95,0.297,19.16,18.63,18.63,1,1.03,OB240134
KMT-2024-BLG-0029,SSO04N0806.027894,18:04:30.32,-30:23:56.90,60384.82991,19.35,0.028,18.88,19.05,19.05,1,1.17,OB240133
KMT-2024-BLG-0030,SAO04T0103.001868,18:03:43.25,-30:49:12.90,60370.27772,1.77,0.513,16.31,16.16,16.16,1,1.44,
KMT-2024-BLG-0031,BLG04T0402.051483,18:01:42.55,-30:53:52.40,60381.43643,7.0,0.282,19.91,19.96,19.96,1,1.4,
KMT-2024-BLG-0032,BLG04T0706.043390,17:59:53.90,-30:27:56.92,60373.16204,15.66,0.069,20.92,19.39,19.39,1,1.38,
KMT-2024-BLG-0033,BLG04T0707.024159,17:59:58.19,-30:19:51.89,60387.64744,19.24,0.052,18.85,18.82,18.82,1,1.36,OB240127 OB240128
KMT-2024-BLG-0034,BLG11K0101.001693,17:27:18.44,-29:52:46.92,60385.46162,29.0,0.269,16.58,16.8,16.8,2,2.1,OB240114
KMT-2024-BLG-0035,BLG11K0401.080635,17:25:19.48,-29:47:47.11,60374.56888,16.74,0.109,21.49,20.0,21.74,2,2.26,
KMT-2024-BLG-0036,BLG11K0404.001024,17:25:15.06,-29:30:49.79,60430.02384,33.39,0.097,15.79,15.76,15.76,1,1.82,OB240439
KMT-2024-BLG-0037,SAO11K0602.042374,17:24:06.19,-29:41:17.92,60374.80662,11.01,0.056,20.7,20.0,20.64,2,2.02,
KMT-2024-BLG-0038,BLG11M0503.079423,17:29:44.09,-29:34:56.53,60379.51497,89.52,0.073,20.79,20.0,21.37,2,2.24,OB240041
KMT-2024-BLG-0039,SAO11M0704.048881,17:28:16.29,-29:25:37.60,60378.79018,17.26,0.032,19.92,20.0,20.5,2,2.07,OB240185
KMT-2024-BLG-0040,BLG11N0206.014217,17:31:23.77,-30:16:06.24,60396.65088,37.2,0.282,19.28,19.48,19.48,2,2.51,OB240211
KMT-2024-BLG-0041,BLG11N0307.026622,17:31:01.22,-30:15:06.98,60411.62704,45.2,0.169,20.18,20.0,20.03,2,2.39,OB240275
KMT-2024-BLG-0042,BLG11N0405.001597,17:30:10.36,-30:23:43.62,60384.73201,16.26,0.214,16.81,16.86,16.86,2,2.57,OB240119
KMT-2024-BLG-0043,SSO11N0705.006588,17:28:33.25,-30:26:32.46,60377.88038,29.54,0.309,19.22,19.21,19.21,2,3.21,OB240212
KMT-2024-BLG-0044,BLG11T0406.001793,17:25:31.90,-30:22:30.54,60415.46588,70.17,0.022,17.44,17.38,17.38,2,2.58,OB240046
KMT-2024-BLG-0045,BLG11T0608.027128,17:23:51.05,-30:04:04.30,60391.52262,83.2,0.015,21.45,20.0,20.01,2,1.97,OB240186
KMT-2024-BLG-0046,BLG12N0408.003201,17:30:07.39,-27:56:40.99,60387.70802,30.95,0.14,17.53,17.48,17.48,2,2.24,OB240040
KMT-2024-BLG-0047,BLG12N0802.016241,17:27:59.83,-28:43:09.55,60380.55443,12.27,0.132,21.93,19.65,19.65,2,1.91,
KMT-2024-BLG-0048,SAO12T0504.075090,17:24:59.47,-28:26:19.61,60370.58688,20.47,0.077,21.01,20.0,22.48,2,2.24,
KMT-2024-BLG-0049,BLG12T0703.015556,17:23:56.15,-28:35:46.36,60373.25316,36.49,0.074,20.22,20.0,20.12,2,2.13,OB240045
