Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2022-BLG-0001,BLG01M0108.002773,17:59:07.16,-30:11:29.90,9658.61135,20.24,0.999,16.85,16.03,16.03,1,1.62,MB22085
KMT-2022-BLG-0002,BLG01N0403.002994,17:57:01.52,-31:49:59.59,9668.22236,7.78,0.526,17.05,16.58,16.58,1,1.46,MB22108 MB22119
KMT-2022-BLG-0003,BLG01N0501.027137,17:56:44.48,-32:07:06.38,9658.53171,77.41,0.005,22.97,19.14,19.14,1,1.49,MB22097
KMT-2022-BLG-0004,BLG01T0205.006666,17:53:26.18,-31:38:11.00,9659.12396,5.15,0.34,17.59,17.62,17.62,1,1.98,MB22098
KMT-2022-BLG-0005,BLG01T0307.006104,17:52:42.32,-31:23:13.88,9640.73553,24.44,0.055,20.08,17.41,17.41,1,2.26,MB22050
KMT-2022-BLG-0006,BLG01T0307.015182,17:53:01.66,-31:24:04.90,9640.85643,39.13,0.127,20.74,18.86,18.86,1,2.3,
KMT-2022-BLG-0007,BLG02K0103.003377,17:54:07.05,-28:42:46.98,9646.86756,7.24,0.15,16.73,16.75,16.75,2,2.16,
KMT-2022-BLG-0008,BLG02K0103.013765,17:54:11.51,-28:40:22.19,9657.37348,199.65,0.035,22.23,18.43,18.43,2,2.31,
KMT-2022-BLG-0009,SAO02K0304.005221,17:52:49.21,-28:31:48.07,9653.58519,6.09,0.999,17.96,17.73,17.73,2,3.03,
KMT-2022-BLG-0010,SSO02M0102.010361,17:58:53.18,-28:43:34.72,9660.61434,198.92,0.004,24.61,17.28,17.28,1,1.21,
KMT-2022-BLG-0011,SAO02M0604.032804,17:56:00.31,-28:33:58.57,9649.91078,55.63,0.007,22.37,19.73,19.73,2,1.92,
KMT-2022-BLG-0012,SAO02M0803.098870,17:54:39.27,-28:35:54.85,9662.47946,6.84,0.12,19.6,20.0,25.0,3,2.03,
KMT-2022-BLG-0013,BLG02N0108.060797,17:58:43.50,-29:06:32.62,9653.89021,15.26,0.016,20.73,19.11,19.11,1,1.07,
KMT-2022-BLG-0014,BLG02N0407.041713,17:57:02.64,-29:16:50.41,9650.88464,9.0,0.088,19.93,19.22,19.22,1,1.55,MB22082 MB22086
KMT-2022-BLG-0015,SAO02N0607.063246,17:55:46.58,-29:18:48.38,9638.93282,45.81,0.005,21.53,19.55,19.55,1,1.75,MB22053
KMT-2022-BLG-0016,BLG02N0805.002156,17:54:38.64,-29:33:13.00,9640.6713,199.01,0.007,21.24,15.45,15.45,1,1.47,MB22052
KMT-2022-BLG-0017,BLG02N0806.025783,17:54:50.06,-29:26:06.61,9664.06186,19.46,0.75,18.41,18.48,18.48,1,1.41,MB22120
KMT-2022-BLG-0018,BLG02N0808.057134,17:54:43.73,-29:05:51.68,9658.75134,39.15,0.197,20.6,19.54,19.54,1,1.95,
KMT-2022-BLG-0019,BLG02T0104.023593,17:54:11.52,-29:40:30.50,9679.48946,66.67,0.01,19.7,18.32,18.32,1,1.43,MB22115
KMT-2022-BLG-0020,BLG02T0208.005676,17:53:25.17,-29:05:13.70,9653.35843,13.37,0.027,16.43,16.41,16.41,1,2.27,MB22051
KMT-2022-BLG-0021,SAO02T0602.047791,17:50:56.13,-29:50:58.81,9655.52832,66.37,0.158,20.63,20.0,20.11,1,3.28,
KMT-2022-BLG-0022,SAO03K0208.061591,18:00:53.32,-26:54:53.86,9648.72172,9.98,0.036,21.83,20.0,21.33,2,2.66,
KMT-2022-BLG-0023,BLG03K0706.020382,17:57:59.58,-27:10:54.62,9644.42213,199.98,0.008,23.6,20.0,20.21,2,3.15,
KMT-2022-BLG-0024,BLG03M0107.039225,18:06:31.65,-27:03:00.50,9676.67061,159.1,0.041,20.9,19.0,19.0,1,0.94,MB22114
KMT-2022-BLG-0025,BLG03N0504.038024,18:04:10.67,-28:31:09.91,9666.12053,16.64,0.492,19.65,18.83,18.83,1,1.02,
KMT-2022-BLG-0026,SAO03T0108.033723,18:01:32.48,-28:02:12.52,9638.25734,40.61,0.012,23.19,18.81,18.81,1,1.28,MB22047
KMT-2022-BLG-0027,BLG03T0207.013559,18:01:00.69,-28:10:18.59,9654.85544,9.02,0.211,19.23,18.01,18.01,1,1.36,MB22093
KMT-2022-BLG-0028,BLG04K0307.034359,18:02:05.57,-29:11:40.70,9663.85994,26.23,0.273,19.51,18.77,18.77,1,1.15,MB22121
KMT-2022-BLG-0029,BLG04M0104.016296,18:08:21.00,-29:36:10.19,9657.96613,25.87,0.013,23.23,18.56,18.56,1,0.82,
KMT-2022-BLG-0030,SSO04N0108.001816,18:08:29.77,-30:10:51.60,9664.35693,57.45,0.436,15.93,15.92,15.92,1,0.87,MB22010
