Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2017-BLG-0001,SAO01K0102.050195,17:53:50.81,-30:54:33.19,7812.2982,14.28,0.092,20.8,19.68,19.68,1,1.93,MB17068
KMT-2017-BLG-0002,SAO01K0103.056513,17:54:12.10,-30:44:55.61,7861.1674,7.37,0.269,20.64,19.96,19.96,1,1.81,
KMT-2017-BLG-0003,BLG01K0104.027511,17:54:01.12,-30:36:58.72,7879.64283,38.6,0.577,18.94,19.14,19.14,1,1.54,OB170411
KMT-2017-BLG-0004,BLG01K0104.069745,17:53:57.38,-30:40:08.62,7959.30411,49.85,0.184,20.78,20.0,20.27,1,2.23,
KMT-2017-BLG-0005,SAO01K0106.001021,17:54:00.08,-30:20:13.96,7884.17742,56.95,0.053,21.15,15.32,15.32,2,1.54,OB170627
KMT-2017-BLG-0006,BLG01K0106.003437,17:53:49.36,-30:22:01.20,7966.26909,51.69,0.997,16.47,16.04,16.04,1,1.5,OB170910
KMT-2017-BLG-0007,BLG01K0106.011476,17:54:07.71,-30:21:30.89,7830.95654,59.93,0.175,20.77,17.71,17.71,1,1.74,OB170215
KMT-2017-BLG-0008,BLG01K0106.028600,17:54:13.11,-30:22:58.12,7995.31296,16.62,0.132,19.61,18.81,18.81,1,1.74,OB171603 MB17443
KMT-2017-BLG-0009,SAO01K0108.006124,17:54:06.83,-30:10:41.63,7827.26751,67.19,0.014,16.49,16.5,16.5,2,1.43,OB170005 MB17025
KMT-2017-BLG-0010,SAO01K0201.055701,17:53:25.20,-30:59:57.59,7886.23135,20.56,0.103,20.45,19.87,19.87,1,1.93,MB17248
KMT-2017-BLG-0011,BLG01K0205.009288,17:53:15.16,-30:32:30.70,7877.5595,14.01,0.494,17.41,17.51,17.51,1,2.09,OB170605 MB17222
KMT-2017-BLG-0012,BLG01K0205.036719,17:53:22.94,-30:32:28.50,7874.88874,15.1,0.033,21.53,19.25,19.25,1,1.81,OB170756
KMT-2017-BLG-0013,BLG01K0205.087747,17:53:25.98,-30:29:23.50,7844.61498,8.85,0.274,19.84,20.0,20.44,1,1.7,OB171025
KMT-2017-BLG-0014,BLG01K0207.003910,17:53:24.98,-30:14:13.96,7885.79392,11.71,0.999,18.4,16.56,16.56,2,1.62,OB170628
KMT-2017-BLG-0015,SAO01K0207.005603,17:53:19.30,-30:12:38.59,7929.41648,17.48,0.176,16.72,16.76,16.76,2,1.4,OB170924 MB17304
KMT-2017-BLG-0016,SSO01K0207.007321,17:53:07.14,-30:14:45.85,7984.71582,82.46,0.037,20.04,17.2,17.2,2,1.67,OB171392 OB171434 MB17425
KMT-2017-BLG-0017,BLG01K0207.027166,17:53:30.23,-30:13:06.24,7885.58691,43.05,0.578,18.9,18.84,18.84,2,1.62,OB170629
KMT-2017-BLG-0018,BLG01K0208.006495,17:53:17.46,-30:11:00.92,7927.96399,19.96,0.666,17.05,17.08,17.08,2,1.56,OB171040 MB17341
KMT-2017-BLG-0019,SAO01K0208.019551,17:53:39.41,-30:07:46.42,7900.36393,16.91,0.046,19.93,18.25,18.25,1,1.6,
KMT-2017-BLG-0020,BLG01K0302.022768,17:52:30.06,-30:50:46.79,7844.19336,17.48,0.015,22.39,18.69,18.69,1,1.91,
KMT-2017-BLG-0021,BLG01K0303.006549,17:53:00.79,-30:46:18.08,8029.04318,63.5,0.154,21.08,17.0,17.0,1,1.64,OB171798
KMT-2017-BLG-0022,BLG01K0304.010197,17:52:52.93,-30:38:02.00,7836.7023,13.86,0.415,18.48,17.95,17.95,1,2.27,OB170321
KMT-2017-BLG-0023,SAO01K0306.038932,17:52:34.71,-30:26:28.50,7855.82208,21.01,0.051,20.74,19.49,19.49,1,2.31,OB170471
KMT-2017-BLG-0024,SAO01K0307.018877,17:52:50.21,-30:13:01.24,8028.77308,13.58,0.169,18.9,18.94,18.94,2,1.56,OB171776
KMT-2017-BLG-0025,SAO01K0307.019992,17:52:34.06,-30:16:46.60,7947.31918,11.38,0.014,20.76,19.03,19.03,2,1.77,OB171368
KMT-2017-BLG-0026,BLG01K0307.021976,17:52:42.61,-30:14:13.27,7983.12653,23.94,0.164,19.99,19.57,19.57,2,1.67,OB171539
KMT-2017-BLG-0027,BLG01K0401.017067,17:52:16.08,-31:03:15.19,7993.61458,6.95,0.23,20.68,18.79,18.79,1,2.08,OB171660
KMT-2017-BLG-0028,BLG01K0401.046999,17:51:56.73,-31:03:36.79,7822.40085,12.88,0.349,20.32,19.82,19.82,1,2.15,
KMT-2017-BLG-0029,SAO01K0403.025111,17:52:02.64,-30:45:02.70,7997.65448,11.75,0.028,20.91,18.96,18.96,1,1.92,
KMT-2017-BLG-0030,SAO01K0404.031734,17:52:16.10,-30:36:43.49,7951.14594,4.87,0.104,20.45,19.21,19.21,1,2.44,
KMT-2017-BLG-0031,BLG01K0404.063467,17:52:17.06,-30:41:07.58,7833.05909,8.64,0.588,19.95,20.0,20.02,1,1.79,
KMT-2017-BLG-0032,SAO01K0405.030988,17:52:06.87,-30:30:15.52,7976.71009,16.38,0.495,20.42,19.48,19.48,1,2.29,
KMT-2017-BLG-0033,BLG01K0407.024170,17:52:06.03,-30:19:11.10,8033.35604,15.16,0.071,20.51,19.34,19.34,2,2.13,
KMT-2017-BLG-0034,BLG01K0407.038993,17:52:00.30,-30:14:29.29,7867.88908,40.94,0.038,22.47,19.43,19.43,1,1.97,OB170579
KMT-2017-BLG-0035,SAO01K0407.040319,17:52:20.69,-30:13:24.82,7955.33455,17.95,0.146,19.47,19.47,19.47,1,1.87,OB171274
KMT-2017-BLG-0036,BLG01K0407.063255,17:51:56.78,-30:16:56.39,7933.20102,17.91,0.064,22.09,20.0,20.51,1,2.15,
KMT-2017-BLG-0037,BLG01K0408.063103,17:52:22.97,-30:08:51.00,7856.84258,7.19,0.186,20.52,19.88,19.88,1,1.77,
KMT-2017-BLG-0038,BLG01K0503.035448,17:51:45.15,-30:45:51.01,8040.40269,10.04,0.32,19.93,19.52,19.52,1,2.07,
KMT-2017-BLG-0039,BLG01K0507.003688,17:51:31.99,-30:18:00.86,7852.19501,11.57,1.0,17.54,17.0,17.0,2,2.46,OB170463
KMT-2017-BLG-0040,BLG01K0507.046361,17:51:43.01,-30:14:44.20,7856.45834,2.53,0.21,19.65,19.73,19.73,1,2.2,OB170534
KMT-2017-BLG-0041,BLG01K0508.004277,17:51:34.41,-30:04:31.40,7953.16483,14.81,0.402,16.6,16.6,16.6,1,2.18,OB171226 MB17361
KMT-2017-BLG-0042,BLG01K0508.040195,17:51:35.41,-30:10:49.58,7825.81289,26.83,0.283,19.35,19.47,19.47,1,2.12,OB170196
KMT-2017-BLG-0043,SAO01K0603.030304,17:50:55.97,-30:46:56.89,7896.3825,30.33,0.189,20.94,19.47,19.47,1,2.65,OB170879
KMT-2017-BLG-0044,BLG01K0603.064797,17:50:56.16,-30:47:43.51,7808.91407,29.04,0.098,21.83,20.0,20.44,1,2.65,
KMT-2017-BLG-0045,SAO01K0607.053464,17:51:09.78,-30:18:09.47,7846.70728,12.32,0.108,20.41,20.0,20.0,4,2.44,
