Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2018-BLG-0043,BLG14M0307.046562,17:40:11.74,-27:57:55.76,8274.06922,19.39,0.059,20.98,20.0,21.32,3,3.67,OB181023
KMT-2018-BLG-0044,BLG14N0404.005415,17:39:30.72,-29:33:13.79,8294.11795,27.49,1.911,17.36,20.0,20.45,2,5.83,
KMT-2018-BLG-0045,BLG15T0808.001569,17:32:12.21,-26:53:35.52,8278.84417,26.77,0.453,18.94,18.19,18.19,2,3.37,
KMT-2018-BLG-0046,SAO15K0501.025018,17:34:16.20,-26:43:12.11,8267.16788,10.92,0.105,20.83,20.0,20.26,2,2.27,
KMT-2018-BLG-0047,BLG15T0405.038041,17:34:45.52,-27:18:26.50,8268.77282,53.29,0.315,21.56,20.0,20.18,1,2.75,OB180926
KMT-2018-BLG-0048,BLG15T0304.003419,17:35:23.09,-27:26:01.72,8310.1905,194.45,0.101,21.96,16.97,16.97,1,2.48,OB180950
KMT-2018-BLG-0049,BLG14K0302.004534,17:35:24.51,-28:37:01.92,8309.59791,88.32,0.281,20.7,17.93,17.93,2,2.81,
KMT-2018-BLG-0050,BLG15T0307.000669,17:35:32.12,-27:02:00.60,8277.91387,3.3,0.88,14.51,15.26,15.26,1,2.16,OB180979
KMT-2018-BLG-0051,BLG15T0201.000372,17:35:39.25,-27:47:18.71,8261.64884,97.24,0.165,21.99,16.18,16.18,2,3.26,
KMT-2018-BLG-0052,BLG15T0207.017680,17:35:48.03,-27:00:39.60,8277.75707,23.18,0.35,19.43,19.17,19.17,1,2.06,OB180908
KMT-2018-BLG-0053,BLG15T0203.002438,17:35:49.09,-27:33:14.15,8345.96109,82.45,0.206,18.47,17.42,17.42,3,2.55,OB180890 MB18292
KMT-2018-BLG-0054,BLG15T0201.007182,17:35:51.87,-27:46:47.35,8298.91977,70.99,1.136,16.96,19.26,19.26,2,3.33,OB180492
KMT-2018-BLG-0055,BLG15T0204.033794,17:35:58.39,-27:27:05.29,8273.35346,76.58,0.113,22.05,19.91,19.91,1,2.73,
KMT-2018-BLG-0056,SAO15M0806.003884,17:37:17.84,-26:01:40.30,8258.09026,16.09,0.252,20.59,18.66,18.66,2,3.34,OB180855
KMT-2018-BLG-0057,BLG15N0807.034631,17:37:24.38,-27:05:32.57,8269.46666,58.57,0.055,22.82,20.0,20.63,2,2.64,OB180951
KMT-2018-BLG-0058,BLG15M0601.014224,17:38:13.57,-26:42:17.75,8273.86761,72.55,0.216,22.1,19.93,19.93,2,2.81,
KMT-2018-BLG-0059,BLG15M0605.041692,17:38:29.26,-26:06:03.46,8282.04364,32.36,1.43,15.22,20.0,21.59,2,3.77,
KMT-2018-BLG-0060,BLG15N0505.021509,17:39:08.05,-27:18:29.95,8318.45916,157.57,0.188,19.88,19.89,19.89,2,2.5,OB180734
KMT-2018-BLG-0061,BLG15N0403.056900,17:39:24.68,-27:34:01.78,8263.69069,7.09,1.277,17.8,20.0,20.91,2,2.65,
KMT-2018-BLG-0062,BLG15N0103.001089,17:41:15.53,-27:28:06.31,8274.64272,98.45,0.437,20.26,16.67,16.67,2,3.28,
KMT-2018-BLG-0063,BLG18K0805.058625,17:41:29.15,-26:04:46.02,8246.60259,58.72,0.805,16.78,20.0,21.54,2,2.8,
KMT-2018-BLG-0064,BLG18T0601.031323,17:42:46.75,-27:47:02.40,8257.84556,28.28,0.191,21.43,20.0,21.15,2,3.85,OB180838
KMT-2018-BLG-0065,BLG18K0508.007325,17:43:25.16,-25:48:39.85,8326.74984,125.52,0.604,18.67,18.69,18.69,2,2.68,OB180817
KMT-2018-BLG-0066,BLG18K0503.042192,17:43:35.16,-26:23:23.14,8254.95814,3.83,1.996,15.42,20.0,20.68,2,2.86,
KMT-2018-BLG-0067,BLG18T0402.004447,17:44:06.73,-27:36:48.20,8287.79114,28.64,0.504,17.9,18.77,18.77,2,4.41,
KMT-2018-BLG-0068,BLG18T0106.041040,17:45:37.90,-27:03:56.02,8267.49588,134.68,0.042,23.48,20.0,21.92,2,4.22,
KMT-2018-BLG-0069,BLG18M0805.006498,17:46:20.08,-26:08:51.00,8338.83309,49.83,0.646,18.48,18.32,18.32,2,3.18,
KMT-2018-BLG-0070,SAO18M0701.007222,17:46:41.41,-26:37:29.78,8262.67245,25.73,0.082,18.9,19.34,19.34,2,3.96,OB180760
KMT-2018-BLG-0071,BLG18M0702.008998,17:47:06.62,-26:29:12.37,8288.35188,19.07,0.334,19.27,19.84,19.84,2,4.52,OB181022
KMT-2018-BLG-0072,BLG18N0608.058195,17:47:22.01,-26:52:18.44,8276.25194,28.88,0.116,21.46,20.0,22.45,2,4.83,
KMT-2018-BLG-0073,BLG18N0208.022788,17:49:59.41,-26:48:38.74,8287.09224,66.84,0.285,18.25,20.0,25.0,3,9.1,
KMT-2018-BLG-0074,SSO14K0108.021431,17:36:09.81,-27:54:29.77,8273.1949,2.49,0.002,19.12,20.0,20.74,2,3.38,
KMT-2018-BLG-0075,BLG15M0404.007604,17:39:38.14,-26:14:23.10,8309.89057,76.74,0.665,17.17,19.12,19.12,2,2.92,OB180156
KMT-2018-BLG-0076,BLG15M0305.036129,17:39:58.22,-26:11:31.38,8272.13907,8.63,0.044,21.04,20.0,20.69,2,2.67,
KMT-2018-BLG-0077,BLG15M0305.116366,17:40:06.30,-26:07:28.92,8271.33799,41.87,0.055,21.26,20.0,25.0,3,2.53,
KMT-2018-BLG-0078,BLG15M0307.033932,17:40:19.19,-25:57:21.38,8275.96462,65.04,0.01,21.58,20.0,21.1,2,3.07,
KMT-2018-BLG-0079,BLG14M0107.006682,17:41:11.78,-28:03:46.69,8273.72196,186.25,0.008,26.36,18.73,18.73,2,3.73,
KMT-2018-BLG-0080,BLG18K0304.022667,17:44:32.09,-26:18:10.22,8273.68789,9.61,1.149,18.56,20.0,20.13,2,3.09,
KMT-2018-BLG-0081,SSO18K0307.017431,17:44:34.48,-25:55:12.00,8279.35871,162.18,0.004,20.86,20.0,20.18,2,2.96,
KMT-2018-BLG-0082,BLG15T0408.058494,17:34:49.48,-26:50:44.95,8253.60095,0.67,0.01,26.21,20.0,21.31,2,2.35,
KMT-2018-BLG-0083,SAO14M0804.056489,17:37:01.05,-28:27:23.87,8274.76727,10.52,0.068,22.99,20.0,22.17,2,3.8,
KMT-2018-BLG-0084,BLG15T0304.014591,17:35:16.11,-27:28:00.91,8282.08236,63.64,0.639,20.86,19.07,19.07,1,2.51,
KMT-2018-BLG-0085,BLG14N0604.017943,17:38:19.95,-29:32:34.76,8290.33359,7.51,2.0,16.45,20.0,20.97,2,4.63,
KMT-2018-BLG-0086,BLG14M0101.053213,17:41:03.81,-28:48:28.19,8279.14335,9.69,0.036,22.56,20.0,25.0,3,5.68,
KMT-2018-BLG-0087,BLG15N0801.008809,17:37:18.48,-27:49:55.42,8281.73406,4.46,0.535,16.58,19.42,19.42,2,3.01,
KMT-2018-BLG-0088,BLG16T0408.001858,17:35:08.60,-24:44:56.54,8268.02398,81.58,0.513,18.84,17.95,17.95,2,2.85,OB180663
KMT-2018-BLG-0089,SSO14K0103.072283,17:36:08.71,-28:34:31.19,8301.9692,199.79,0.15,21.75,20.0,21.85,2,3.1,
KMT-2018-BLG-0090,BLG16N0808.024670,17:37:32.88,-24:45:45.40,8251.71342,49.06,0.219,21.06,20.0,20.32,2,1.99,
KMT-2018-BLG-0091,BLG16M0701.001844,17:38:06.82,-24:34:13.76,8273.2328,18.34,0.466,18.78,16.92,16.92,2,2.06,OB180966
KMT-2018-BLG-0092,SSO16M0605.090464,17:38:44.11,-24:04:46.27,8296.58915,151.29,0.173,20.71,20.0,25.0,3,1.93,
KMT-2018-BLG-0093,BLG16N0508.009031,17:39:19.61,-24:46:48.83,8280.96769,2.93,1.802,16.64,19.49,19.49,2,2.42,
KMT-2018-BLG-0094,BLG16N0207.034992,17:40:31.77,-24:53:25.51,8269.7149,25.1,0.062,20.49,20.0,20.15,1,2.72,
KMT-2018-BLG-0095,BLG19K0706.005591,17:42:07.46,-23:54:27.76,8292.66003,103.24,0.02,18.34,18.05,18.05,2,2.05,OB180524
KMT-2018-BLG-0096,BLG19T0704.006935,17:42:08.03,-25:15:17.78,8284.13892,7.44,1.772,16.21,18.59,18.59,1,2.7,
KMT-2018-BLG-0097,BLG19K0608.010152,17:42:39.17,-23:42:42.59,8277.94105,4.19,1.956,15.09,18.77,18.77,1,1.9,
KMT-2018-BLG-0098,BLG19K0601.026752,17:42:56.32,-24:32:19.10,8274.95496,12.29,1.902,17.61,19.65,19.65,1,2.03,
KMT-2018-BLG-0099,BLG19K0502.009961,17:43:29.58,-24:26:01.50,8268.7787,107.84,0.226,22.01,18.74,18.74,1,2.42,
KMT-2018-BLG-0100,BLG19T0502.046246,17:43:32.06,-25:34:56.86,8285.16104,32.86,0.145,20.47,20.0,21.01,2,2.9,
KMT-2018-BLG-0101,BLG19K0403.004219,17:44:01.93,-24:17:39.80,8275.22463,68.25,0.758,19.05,17.0,17.0,1,1.83,OB180774
KMT-2018-BLG-0102,BLG19T0302.057661,17:44:28.92,-25:33:55.44,8290.06199,7.54,1.361,16.64,20.0,21.37,2,3.01,
KMT-2018-BLG-0103,BLG19T0308.007447,17:44:39.18,-24:43:57.65,8286.61174,33.36,0.722,18.3,19.16,19.16,2,2.93,OB180953
KMT-2018-BLG-0104,SAO19K0203.003042,17:44:55.18,-24:16:32.02,8289.57131,83.29,0.16,20.71,16.6,16.6,1,1.96,OB181005
KMT-2018-BLG-0105,BLG19T0202.020526,17:44:55.86,-25:36:13.10,8274.4988,40.29,0.003,23.55,20.0,20.3,2,3.09,
KMT-2018-BLG-0106,BLG19T0206.031646,17:45:08.79,-25:03:55.37,8287.07812,11.66,1.866,16.3,20.0,20.88,3,3.04,
KMT-2018-BLG-0107,BLG19K0108.011545,17:45:47.88,-23:36:39.31,8286.06484,70.78,0.065,19.76,18.53,18.53,1,1.74,OB180852
KMT-2018-BLG-0108,BLG19N0505.025181,17:47:59.58,-25:09:50.18,8279.68621,23.75,0.153,21.14,20.0,21.72,2,4.49,
KMT-2018-BLG-0109,BLG19M0305.088571,17:49:02.07,-23:58:37.27,8273.04429,23.3,0.087,22.47,20.0,22.27,3,2.09,
KMT-2018-BLG-0110,BLG19M0104.009751,17:50:07.59,-24:08:15.97,8295.72072,57.23,0.252,20.96,19.37,19.37,2,2.6,
KMT-2018-BLG-0111,SAO16T0606.009869,17:34:01.41,-24:59:34.37,8281.33333,14.6,1.496,17.69,20.0,20.42,2,3.01,
KMT-2018-BLG-0112,BLG19K0701.024294,17:42:04.80,-24:31:48.61,8278.26892,21.53,0.534,20.35,19.64,19.64,1,2.28,
KMT-2018-BLG-0113,SSO18T0407.045781,17:44:00.26,-26:58:28.81,8282.31083,5.34,0.009,21.18,20.0,21.44,2,3.45,
KMT-2018-BLG-0114,SSO19M0708.047298,17:46:49.56,-23:38:21.30,8221.19185,28.09,1.956,19.91,20.0,20.12,1,1.92,
KMT-2018-BLG-0115,SAO14K0403.002891,17:34:52.06,-28:28:25.93,8281.29991,198.91,0.019,24.59,18.12,18.12,2,3.23,
KMT-2018-BLG-0116,SSO19M0408.002881,17:48:36.45,-23:37:53.26,8267.39487,114.38,0.056,31.96,17.09,17.09,2,2.06,
KMT-2018-BLG-0117,BLG19M0106.001756,17:50:25.01,-23:52:20.21,8283.81878,5.11,0.103,19.9,16.98,16.98,2,2.55,
KMT-2018-BLG-0118,BLG15K0703.018127,17:33:04.96,-26:24:43.02,8336.17319,199.42,0.05,21.36,20.0,20.96,2,2.96,OB181281
KMT-2018-BLG-0119,BLG15N0501.007934,17:38:47.40,-27:47:40.67,8281.99407,30.98,0.599,20.05,18.34,18.34,2,2.77,OB181044
KMT-2018-BLG-0120,BLG16M0104.092669,17:41:14.97,-24:06:41.83,8287.07449,35.81,0.064,21.93,20.0,25.0,3,1.96,OB181137
KMT-2018-BLG-0121,SSO15M0107.000103,17:41:17.49,-25:56:22.34,8283.65204,6.6,0.732,17.1,14.84,14.84,2,2.7,
KMT-2018-BLG-0122,BLG19T0803.003778,17:41:40.61,-25:27:43.99,8316.82808,24.14,1.381,16.96,17.89,17.89,2,2.72,
KMT-2018-BLG-0123,BLG19N0401.009880,17:48:46.19,-25:38:44.27,8287.44413,12.45,0.392,20.52,20.0,21.47,2,6.11,
KMT-2018-BLG-0124,BLG16K0807.037753,17:32:44.74,-23:44:15.94,8286.2626,23.5,0.089,21.58,20.0,21.15,2,-9.99,
KMT-2018-BLG-0125,SSO15T0502.097149,17:34:22.21,-27:43:06.35,8292.68356,11.97,0.091,19.6,20.0,25.0,3,2.7,OB181068
KMT-2018-BLG-0126,BLG15K0304.005836,17:35:01.92,-26:20:11.80,8306.37466,25.05,0.183,18.43,19.15,19.15,2,2.8,OB181076 MB18217
KMT-2018-BLG-0127,BLG16M0401.007692,17:39:44.36,-24:30:19.44,8320.99803,84.69,0.217,20.06,18.85,18.85,2,1.85,OB181223
KMT-2018-BLG-0128,BLG15N0108.009139,17:41:16.53,-26:55:04.69,8301.90085,51.6,0.204,21.07,19.93,19.93,2,4.18,OB181150
KMT-2018-BLG-0129,BLG19K0602.009985,17:42:47.59,-24:23:13.49,8283.61554,5.63,0.954,19.06,18.5,18.5,1,2.03,
KMT-2018-BLG-0130,SSO18K0306.109955,17:44:42.06,-25:58:02.64,8277.15236,83.01,0.046,23.47,20.0,25.0,3,2.96,
KMT-2018-BLG-0131,BLG19K0104.030065,17:45:27.55,-24:07:48.61,8284.9874,43.24,0.116,22.56,19.49,19.49,1,1.94,
KMT-2018-BLG-0132,BLG19M0808.012084,17:46:20.40,-23:39:58.61,8288.78611,20.35,0.096,21.13,18.67,18.67,1,1.79,
KMT-2018-BLG-0133,SSO19M0703.029346,17:47:01.78,-24:19:18.52,8255.16647,153.39,0.214,22.08,20.0,20.19,2,2.32,
KMT-2018-BLG-0134,BLG15T0702.034320,17:32:48.02,-27:37:21.72,8285.68514,3.56,0.107,20.95,20.0,20.87,2,2.85,
KMT-2018-BLG-0135,BLG14M0203.012067,17:40:55.98,-28:32:26.48,8286.65974,24.38,0.095,22.63,20.0,20.01,2,4.47,
KMT-2018-BLG-0136,BLG15T0106.044579,17:36:41.78,-27:08:16.80,8286.18172,2.48,0.3,20.59,20.0,20.11,1,2.52,
KMT-2018-BLG-0137,BLG15N0503.004987,17:38:57.09,-27:35:15.11,8331.74997,21.99,0.116,16.93,17.69,17.69,2,2.67,OB181181
KMT-2018-BLG-0138,BLG16N0205.028306,17:40:34.62,-25:05:45.38,8313.05931,54.67,0.623,20.26,19.93,19.93,1,2.6,
KMT-2018-BLG-0139,BLG18K0301.079180,17:44:12.81,-26:38:28.68,8287.1967,16.62,0.006,23.16,20.0,22.15,2,3.23,
KMT-2018-BLG-0140,BLG14T0302.049656,17:35:05.59,-29:46:21.50,8285.72663,20.54,0.264,22.09,20.0,21.26,2,3.43,
KMT-2018-BLG-0141,BLG16M0607.055074,17:38:37.96,-23:46:37.60,8303.4784,37.79,1.091,19.05,20.0,21.17,2,1.94,
KMT-2018-BLG-0142,BLG18K0603.002473,17:42:39.25,-26:22:18.08,8285.46817,53.68,0.041,23.5,17.36,17.36,2,3.01,
KMT-2018-BLG-0143,BLG19N0608.088824,17:47:40.12,-24:47:19.36,8289.29142,62.89,0.072,23.31,20.0,25.0,3,3.71,
KMT-2018-BLG-0144,BLG11K0607.016599,17:24:00.08,-29:07:32.70,8351.32604,96.47,1.135,18.66,19.21,19.21,1,1.67,OB180748
KMT-2018-BLG-0145,BLG11K0501.091445,17:24:37.02,-29:53:42.54,8271.28563,69.28,0.34,20.39,20.0,22.76,2,1.49,
KMT-2018-BLG-0146,BLG11K0501.061975,17:24:37.08,-29:53:25.51,8271.41679,22.37,1.687,16.51,20.0,20.84,2,1.5,
KMT-2018-BLG-0147,BLG11T0402.006390,17:25:26.18,-30:47:00.13,8270.00223,65.99,0.388,19.28,19.39,19.39,2,2.83,
KMT-2018-BLG-0148,BLG11K0304.003459,17:25:53.11,-29:28:51.38,8291.54163,23.13,0.377,16.51,16.84,16.84,1,1.85,OB180816
KMT-2018-BLG-0149,BLG11T0304.003507,17:26:03.80,-30:34:46.38,8345.65755,27.35,1.512,16.43,18.43,18.43,2,3.02,
KMT-2018-BLG-0150,BLG11T0105.001294,17:27:03.57,-30:23:56.76,8290.42656,3.24,0.805,16.51,17.37,17.37,2,2.9,OB181147
KMT-2018-BLG-0151,BLG11T0107.009973,17:27:11.74,-30:08:54.28,8348.95046,48.25,1.998,15.04,19.51,19.51,2,2.33,
KMT-2018-BLG-0152,SSO11M0803.064141,17:27:39.41,-29:34:35.80,8278.34113,36.64,0.045,21.32,20.0,20.56,1,2.01,OB181003
KMT-2018-BLG-0153,SSO11M0702.063421,17:28:26.63,-29:40:37.31,8288.8134,113.1,0.013,23.58,20.0,20.85,1,2.33,OB181131
KMT-2018-BLG-0154,BLG11N0408.013720,17:30:15.76,-30:02:23.35,8296.25107,34.84,0.271,19.59,19.36,19.36,2,2.46,OB181075
KMT-2018-BLG-0155,BLG11N0304.020672,17:31:01.52,-30:37:48.72,8292.0223,50.36,0.095,21.73,20.0,20.24,2,3.1,OB181146
KMT-2018-BLG-0156,BLG11N0202.034650,17:31:19.16,-30:52:08.11,8274.46323,31.55,0.223,21.12,20.0,20.93,2,3.13,
KMT-2018-BLG-0157,BLG11M0203.021270,17:31:39.83,-29:35:20.40,8292.49428,22.91,0.188,20.91,20.0,20.39,2,2.93,
KMT-2018-BLG-0158,BLG11M0103.012080,17:31:48.34,-29:32:02.76,8295.7355,73.36,0.199,21.65,19.68,19.68,2,2.85,
KMT-2018-BLG-0159,BLG11N0105.045366,17:32:02.94,-30:24:45.00,8341.48829,33.54,1.991,15.6,20.0,21.14,2,2.64,
KMT-2018-BLG-0160,BLG14T0501.105982,17:33:47.96,-29:55:13.33,8300.46331,14.05,0.98,20.76,20.0,25.0,3,3.03,
KMT-2018-BLG-0161,BLG16N0801.042816,17:37:14.81,-25:41:03.88,8287.32135,6.17,0.102,21.81,20.0,22.31,2,3.7,
KMT-2018-BLG-0162,SSO20T0703.082892,17:42:32.06,-23:16:20.60,8284.99679,11.78,0.213,20.25,20.0,25.0,3,1.82,
KMT-2018-BLG-0163,BLG20T0403.069216,17:43:46.12,-23:18:05.80,8318.78912,122.97,0.248,20.31,20.0,21.43,2,1.66,
KMT-2018-BLG-0164,BLG20T0403.021022,17:43:46.15,-23:18:47.70,8326.55415,29.45,1.786,15.66,19.64,19.64,2,1.7,
KMT-2018-BLG-0165,BLG18T0407.033504,17:44:04.87,-26:59:16.48,8323.64667,54.82,0.322,20.38,20.0,21.12,2,3.55,OB181310
KMT-2018-BLG-0166,BLG20M0802.050527,17:46:23.73,-22:19:12.68,8290.36987,1.27,1.986,15.35,20.0,20.26,1,1.52,
KMT-2018-BLG-0167,BLG20M0805.007709,17:46:31.37,-21:51:38.81,8262.18059,34.88,1.131,18.89,18.83,18.83,4,1.97,
KMT-2018-BLG-0168,SSO20N0601.004596,17:47:18.19,-23:34:08.40,8288.06893,35.76,0.315,17.86,17.68,17.68,1,1.83,
KMT-2018-BLG-0169,SSO20N0602.073456,17:47:40.84,-23:23:24.65,8263.53716,28.14,0.694,19.2,20.0,21.14,2,1.7,
KMT-2018-BLG-0170,SSO20N0501.007224,17:47:54.07,-23:31:16.97,8285.19724,19.38,0.084,19.39,18.5,18.5,2,1.87,OB181073
KMT-2018-BLG-0171,BLG20N0507.010205,17:47:54.49,-22:47:13.60,8301.47275,10.68,1.789,15.74,18.43,18.43,1,1.71,
KMT-2018-BLG-0172,BLG20N0301.008884,17:49:07.52,-23:35:03.37,8305.40516,189.87,0.035,21.8,18.72,18.72,2,1.91,OB181138
KMT-2018-BLG-0173,BLG20M0108.001715,17:50:11.75,-21:35:40.56,8349.07813,53.47,0.786,16.8,16.77,16.77,4,2.62,
KMT-2018-BLG-0174,BLG20N0107.001892,17:50:24.10,-22:44:59.89,8299.38717,12.52,0.73,16.52,16.39,16.39,1,2.03,
KMT-2018-BLG-0175,BLG38T0801.022650,17:50:42.44,-23:35:04.20,8362.2931,59.29,1.987,15.42,20.0,20.2,2,2.4,
KMT-2018-BLG-0176,BLG38T0105.001481,17:54:27.49,-22:59:37.82,8259.50294,198.46,0.072,23.69,16.65,16.65,4,3.2,
KMT-2018-BLG-0177,BLG38N0703.006543,17:55:44.33,-23:15:57.64,8334.93085,101.18,1.949,16.03,18.61,18.61,4,3.53,
KMT-2018-BLG-0178,SSO38M0107.005751,17:59:25.44,-21:40:25.64,8274.87698,100.38,0.086,21.81,20.0,20.47,4,6.22,
KMT-2018-BLG-0179,BLG11M0701.057578,17:28:40.20,-29:46:42.85,8314.73299,24.01,1.204,16.87,20.0,21.0,2,2.12,
KMT-2018-BLG-0180,BLG14N0403.042178,17:39:21.45,-29:38:10.00,8291.94822,16.28,0.066,21.86,20.0,22.59,2,4.98,
KMT-2018-BLG-0181,BLG11K0805.061660,17:22:46.84,-29:17:08.52,8295.05476,33.63,0.062,21.48,20.0,21.4,2,2.15,OB181135
