Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2018-BLG-0001,BLG14K0206.027389,17:36:02.60,-28:09:36.50,8197.96342,16.71,0.421,20.47,20.0,20.89,2,3.32,OB180478
KMT-2018-BLG-0002,BLG14K0401.103087,17:34:48.33,-28:47:58.81,8191.51605,24.78,0.06,21.93,20.0,25.0,3,3.38,OB180443
KMT-2018-BLG-0003,BLG14K0804.086606,17:32:15.29,-28:25:12.47,8211.41663,113.34,0.033,23.45,20.0,21.89,2,2.59,
KMT-2018-BLG-0004,BLG14K0303.010287,17:35:07.90,-28:33:05.36,8210.72855,10.11,0.362,21.09,19.46,19.46,2,2.89,
KMT-2018-BLG-0005,SSO14K0103.006186,17:36:36.93,-28:33:33.59,8203.81109,199.99,0.008,20.46,18.63,18.63,2,3.26,
KMT-2018-BLG-0006,SSO14K0604.026150,17:33:15.98,-28:25:36.23,8218.89538,24.17,0.015,20.61,20.0,20.39,2,2.65,OB180542
KMT-2018-BLG-0007,SSO14K0605.058722,17:33:23.70,-28:13:14.41,8218.15413,20.17,0.086,22.3,20.0,20.97,2,2.58,
KMT-2018-BLG-0008,BLG14K0405.042075,17:34:40.84,-28:19:50.56,8224.27388,11.05,0.033,20.28,20.0,20.92,2,3.01,
KMT-2018-BLG-0009,BLG14K0506.006258,17:34:20.83,-28:11:27.64,8212.91302,61.57,0.187,20.82,18.37,18.37,2,2.75,OB180444
KMT-2018-BLG-0010,BLG14K0704.002675,17:33:05.88,-28:23:15.97,8223.88248,2.6,0.166,18.58,17.33,17.33,2,2.53,
KMT-2018-BLG-0011,BLG14K0706.016537,17:32:47.94,-28:06:24.98,8274.57199,99.83,0.347,20.08,19.99,19.99,2,2.82,OB180891
KMT-2018-BLG-0012,BLG14T0702.018092,17:32:49.62,-29:43:11.68,8302.31308,134.52,0.311,17.74,19.95,19.95,2,2.92,OB180166 OB180719
KMT-2018-BLG-0013,SSO14T0708.000817,17:32:50.14,-29:01:57.90,8276.48031,106.22,0.269,16.84,16.54,16.54,2,2.81,OB180261
KMT-2018-BLG-0014,BLG14K0504.025281,17:34:07.35,-28:20:19.28,8264.90192,3.66,0.163,20.94,20.0,20.37,2,2.87,
KMT-2018-BLG-0015,SSO14T0403.002693,17:34:23.69,-29:41:30.98,8291.82063,50.99,0.088,16.37,17.36,17.36,2,2.85,OB180448
KMT-2018-BLG-0016,SSO14K0407.065574,17:34:24.47,-27:59:28.43,8261.51688,110.01,0.031,23.04,20.0,21.38,2,2.84,
KMT-2018-BLG-0017,BLG14T0402.092702,17:34:29.44,-29:46:06.56,8258.02304,183.95,0.041,24.76,20.0,22.06,3,3.02,
KMT-2018-BLG-0018,BLG14T0404.006706,17:34:39.17,-29:29:06.86,8287.17825,23.43,1.188,17.09,18.16,18.16,2,2.95,OB180797
KMT-2018-BLG-0019,BLG14K0404.055317,17:34:51.10,-28:24:29.12,8263.95834,5.77,1.258,17.26,20.0,21.23,2,3.0,
KMT-2018-BLG-0020,BLG14K0304.056013,17:35:07.85,-28:26:04.13,8273.51433,22.26,1.839,17.8,20.0,21.42,2,3.1,
KMT-2018-BLG-0021,SAO14T0303.003438,17:35:12.78,-29:35:49.16,8259.88093,19.71,0.049,21.27,17.77,17.77,2,2.71,OB180864
KMT-2018-BLG-0022,BLG14T0304.053934,17:35:17.94,-29:27:48.42,8258.91266,19.02,0.199,20.58,20.0,21.15,2,3.05,
KMT-2018-BLG-0023,BLG14T0206.012236,17:36:04.67,-29:15:05.00,8269.23578,43.18,0.077,20.43,19.75,19.75,2,3.55,OB180796
KMT-2018-BLG-0024,BLG14T0104.004179,17:36:07.28,-29:32:24.54,8263.32201,14.43,0.248,19.1,18.29,18.29,2,3.27,
KMT-2018-BLG-0025,BLG14T0104.034306,17:36:18.75,-29:32:57.59,8283.55978,46.13,0.39,20.65,20.0,21.06,2,3.6,OB181086
KMT-2018-BLG-0026,BLG14K0101.068228,17:36:26.08,-28:49:20.32,8252.20304,36.77,0.267,20.92,20.0,21.5,2,3.23,
KMT-2018-BLG-0027,BLG14K0101.036569,17:36:27.95,-28:47:52.37,8268.61124,61.49,0.078,22.02,20.0,20.81,2,3.04,
KMT-2018-BLG-0028,BLG14M0807.017703,17:36:59.25,-28:01:29.24,8266.72751,46.42,0.04,21.08,20.0,20.57,2,3.37,OB180854
KMT-2018-BLG-0029,BLG14M0707.019572,17:37:52.67,-27:59:04.92,8294.67131,194.46,0.025,21.71,20.0,20.44,3,3.39,
KMT-2018-BLG-0030,BLG14M0707.001652,17:38:04.00,-28:02:29.65,8271.22672,20.84,1.421,15.42,17.48,17.48,2,3.25,
KMT-2018-BLG-0031,BLG14M0506.002251,17:38:56.09,-28:11:25.22,8300.9182,33.8,1.553,15.58,17.16,17.16,2,2.94,
KMT-2018-BLG-0032,BLG14N0508.006936,17:39:05.13,-29:02:16.04,8252.10592,9.21,1.922,17.15,19.25,19.25,2,4.12,
KMT-2018-BLG-0033,BLG14M0306.015888,17:40:10.23,-28:06:23.87,8257.18182,151.74,0.014,24.24,19.84,19.84,2,3.55,
KMT-2018-BLG-0034,BLG14M0103.076337,17:41:23.19,-28:31:20.68,8262.34788,13.67,0.139,19.84,20.0,25.0,3,4.58,
KMT-2018-BLG-0035,BLG14M0408.004942,17:39:41.27,-27:51:30.89,8251.49427,54.45,0.281,20.92,18.0,18.0,2,3.06,OB180733
KMT-2018-BLG-0036,BLG14T0205.004251,17:35:38.70,-29:25:03.29,8268.61959,146.61,0.222,20.25,18.0,18.0,2,3.12,OB180732
KMT-2018-BLG-0037,BLG14M0402.010722,17:39:30.72,-28:38:44.02,8257.69981,62.47,0.406,20.56,20.0,20.26,2,4.47,
KMT-2018-BLG-0038,BLG14M0205.006018,17:40:42.04,-28:16:11.89,8255.96507,22.45,0.245,21.33,18.76,18.76,2,-9.99,
KMT-2018-BLG-0039,BLG14T0302.003568,17:34:59.28,-29:47:59.28,8299.73888,185.74,0.479,18.57,17.97,17.97,2,3.24,OB180165
KMT-2018-BLG-0040,BLG14M0606.039686,17:38:30.49,-28:10:09.05,8296.74416,199.98,1.961,15.13,20.0,20.9,2,2.88,
KMT-2018-BLG-0041,BLG14M0306.002550,17:40:04.99,-28:09:50.65,8268.50328,16.06,1.985,17.25,17.62,17.62,2,3.22,
KMT-2018-BLG-0042,BLG14T0502.007926,17:33:54.33,-29:44:08.30,8260.64778,155.53,0.154,21.31,18.43,18.43,2,2.5,OB180589
