Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2020-BLG-0332,SSO35N0308.010719,18:07:35.59,-25:54:47.41,8986.06198,12.53,0.83,18.21,18.19,18.19,1,1.36,
KMT-2020-BLG-0333,SSO37K0508.060343,17:41:26.36,-34:20:56.65,8980.86586,31.13,0.335,19.71,20.0,20.98,2,2.08,
KMT-2020-BLG-0334,SSO41K0206.054109,17:52:59.13,-30:30:04.72,8984.26502,51.23,0.076,22.94,19.86,19.86,1,2.25,
KMT-2020-BLG-0335,SSO42M0408.065850,17:56:38.52,-28:09:33.70,9098.32283,83.0,0.592,19.62,19.88,19.88,1,1.83,
KMT-2020-BLG-0336,SSO01N0408.003476,17:57:07.15,-31:16:43.90,8997.76558,9.99,0.694,16.27,16.29,16.29,1,1.25,
KMT-2020-BLG-0337,SSO01N0602.045046,17:56:03.28,-31:59:47.62,8989.57584,8.1,0.046,19.57,19.65,19.65,1,1.2,
KMT-2020-BLG-0338,SSO02M0608.028220,17:56:07.57,-27:57:35.24,8986.90839,5.75,0.14,19.6,20.0,20.24,2,2.58,
KMT-2020-BLG-0339,SSO02T0103.102195,17:54:10.45,-29:48:35.50,9119.0128,198.68,0.023,23.29,20.0,20.1,1,1.35,
KMT-2020-BLG-0340,SSO03K0702.061698,17:58:07.94,-27:40:01.09,9042.46569,5.98,0.27,19.51,20.0,20.18,1,1.98,
KMT-2020-BLG-0341,SSO03M0807.006163,18:02:14.79,-27:02:15.61,8991.67628,50.49,0.106,21.0,18.01,18.01,1,2.46,
KMT-2020-BLG-0342,SSO13N0408.000369,17:37:35.41,-34:24:07.92,9020.98028,28.72,0.868,15.78,15.77,15.77,4,2.92,
KMT-2020-BLG-0343,SSO14K0604.047963,17:33:41.65,-28:25:12.00,8992.69781,9.4,0.752,19.75,20.0,20.95,2,2.84,
KMT-2020-BLG-0344,SSO14M0105.006274,17:41:28.82,-28:19:39.83,8990.43143,95.75,0.018,22.89,18.86,18.86,2,4.17,
KMT-2020-BLG-0345,SSO14M0307.006723,17:39:53.79,-28:02:01.82,8989.46313,4.15,0.822,18.58,18.67,18.67,2,3.1,
KMT-2020-BLG-0346,SSO15T0607.017920,17:33:40.37,-26:57:52.78,8985.60093,5.91,0.723,19.73,20.0,20.46,2,2.62,
KMT-2020-BLG-0347,SSO18K0705.015270,17:42:21.04,-26:04:36.88,8996.92098,36.75,0.017,20.15,20.0,20.06,2,2.89,
KMT-2020-BLG-0348,SSO21T0203.003581,17:53:04.40,-36:10:28.49,8988.04011,191.03,0.02,21.54,17.31,17.31,1,0.78,
KMT-2020-BLG-0349,SSO21T0404.008826,17:52:04.98,-35:57:02.92,8991.55792,9.81,0.301,17.98,18.15,18.15,1,0.71,
KMT-2020-BLG-0350,SSO31K0703.008959,18:09:49.48,-25:29:32.39,9018.58377,35.19,0.081,18.26,18.18,18.18,1,1.49,MB20082
KMT-2020-BLG-0351,SSO32T0106.024267,18:10:46.43,-28:19:35.90,9008.29781,41.51,0.391,18.61,18.94,18.94,1,1.13,MB20081
KMT-2020-BLG-0352,SSO32T0602.039855,18:07:40.92,-28:49:40.80,8976.14334,40.43,0.183,19.5,19.27,19.27,1,0.95,
KMT-2020-BLG-0353,SSO35M0602.013850,18:05:54.46,-25:35:34.94,8992.55935,11.57,0.44,18.85,18.96,18.96,4,1.81,
KMT-2020-BLG-0354,SSO35N0303.003749,18:07:32.94,-26:33:43.31,9004.62352,15.89,0.18,16.59,16.54,16.54,1,1.19,MB20080
KMT-2020-BLG-0355,SSO35N0402.050427,18:06:59.32,-26:45:00.79,9125.80377,199.66,0.419,19.47,19.33,19.33,1,0.95,
KMT-2020-BLG-0356,SSO35T0504.010128,18:01:45.20,-26:30:07.38,8983.85092,8.54,0.194,20.25,19.11,19.11,2,2.6,
KMT-2020-BLG-0357,SSO37M0701.056287,17:45:36.87,-35:11:40.31,8982.79056,14.97,0.557,19.66,20.0,20.23,1,1.26,
KMT-2020-BLG-0358,SSO42K0103.034592,17:53:52.09,-28:43:40.33,8985.66069,6.85,0.046,21.63,19.56,19.56,2,2.01,
KMT-2020-BLG-0359,SSO42K0107.009402,17:53:50.98,-28:17:29.65,8986.37685,47.75,0.006,23.14,18.33,18.33,2,2.82,
KMT-2020-BLG-0360,SSO42T0101.002875,17:53:56.59,-30:07:00.41,8994.85696,19.74,0.198,18.42,15.97,15.97,1,1.4,
KMT-2020-BLG-0361,SSO04K0304.011904,18:02:05.91,-29:34:34.50,8988.99717,4.0,0.098,18.21,18.13,18.13,1,1.36,
KMT-2020-BLG-0362,SSO16N0305.004367,17:40:01.49,-25:07:55.63,9016.26569,54.35,0.428,19.63,18.18,18.18,2,2.75,
KMT-2020-BLG-0363,SSO18T0501.007686,17:43:12.99,-27:48:20.84,9010.61159,35.32,0.04,19.53,19.15,19.15,2,4.08,
KMT-2020-BLG-0364,SSO41N0604.064600,17:55:45.41,-31:55:59.20,8998.46988,21.93,0.006,19.66,19.85,19.85,1,1.38,
KMT-2020-BLG-0365,SSO43M0601.045194,18:03:21.61,-27:59:28.00,8993.30573,10.07,0.099,19.27,19.21,19.21,1,0.94,
KMT-2020-BLG-0366,SSO43T0405.023732,17:59:31.11,-28:36:27.61,8995.7452,39.63,0.105,19.96,18.37,18.37,1,1.33,
KMT-2020-BLG-0367,SSO02M0503.037638,17:56:31.11,-28:35:23.10,8996.63495,5.53,0.212,18.94,18.93,18.93,1,1.64,
KMT-2020-BLG-0368,SSO03M0508.005300,18:04:06.48,-26:58:20.78,8993.71429,79.13,0.004,24.27,16.99,16.99,1,1.33,
KMT-2020-BLG-0369,SSO12N0601.036567,17:29:09.91,-28:51:38.48,8989.72235,9.1,0.842,19.64,20.0,20.53,2,2.19,
KMT-2020-BLG-0370,SSO42K0303.014082,17:52:35.40,-28:47:53.30,9001.61115,22.11,0.222,19.38,19.01,19.01,4,3.01,
KMT-2020-BLG-0371,SSO42M0203.052947,17:58:06.20,-28:45:13.21,8991.63512,4.38,0.634,19.0,19.18,19.18,1,1.43,
KMT-2020-BLG-0372,SSO43T0106.004640,18:01:09.07,-28:27:58.79,8994.50749,58.44,0.023,22.01,16.19,16.19,1,1.17,
KMT-2020-BLG-0373,SSO01K0307.051295,17:52:39.78,-30:19:16.14,9086.89744,2.24,0.051,19.51,19.89,19.89,2,1.86,
KMT-2020-BLG-0374,SSO01K0307.063931,17:52:58.99,-30:19:12.83,9113.41539,60.22,0.979,21.22,20.0,20.21,2,1.92,
KMT-2020-BLG-0375,SSO01T0102.004042,17:54:13.60,-31:59:39.70,8994.67081,197.66,0.131,20.47,16.76,16.76,1,1.65,
KMT-2020-BLG-0376,SSO01T0208.014939,17:53:31.68,-31:14:11.11,8995.96135,2.23,0.254,19.09,18.68,18.68,1,2.0,
KMT-2020-BLG-0377,SSO01T0808.015198,17:49:46.88,-31:15:05.76,8998.20122,16.35,0.045,22.11,20.0,21.59,2,5.06,
KMT-2020-BLG-0378,SSO02K0107.006947,17:54:07.69,-28:10:03.76,9026.70746,35.52,0.256,18.71,18.74,18.74,2,3.44,MB20129
KMT-2020-BLG-0379,SSO02M0402.016105,17:57:16.53,-28:45:17.60,9031.20078,95.3,0.036,18.99,18.18,18.18,1,1.78,MB20090
KMT-2020-BLG-0380,SSO02M0402.088282,17:57:02.37,-28:47:57.01,9011.52428,18.32,0.132,19.88,20.0,20.07,1,1.86,
KMT-2020-BLG-0381,SSO02M0508.006519,17:56:47.70,-28:00:14.18,9002.08411,16.42,0.659,17.09,17.1,17.1,1,2.0,
KMT-2020-BLG-0382,SSO02M0705.003877,17:55:33.00,-28:21:23.87,9026.75553,21.71,0.999,17.08,17.03,17.03,2,2.42,
KMT-2020-BLG-0383,SSO03N0105.043785,18:06:29.58,-28:25:50.41,8995.41862,9.4,0.637,18.78,19.31,19.31,1,1.02,
KMT-2020-BLG-0384,SSO03N0708.010279,18:03:13.02,-28:03:46.30,8987.33244,199.78,0.186,21.14,17.5,17.5,1,0.81,
KMT-2020-BLG-0385,SSO03N0806.041870,18:02:41.26,-28:22:21.00,8985.01837,43.76,0.1,21.34,18.81,18.81,1,1.06,
KMT-2020-BLG-0386,SSO04T0601.063858,18:00:40.74,-31:01:03.29,8999.40725,33.1,0.169,21.54,20.0,20.52,1,1.46,
KMT-2020-BLG-0387,SSO11K0601.058505,17:24:10.99,-29:50:15.76,9002.41451,24.29,0.005,22.37,20.0,20.76,2,1.52,
KMT-2020-BLG-0388,SSO11M0106.016693,17:31:52.35,-29:13:12.65,9007.78902,30.4,0.093,20.12,20.0,20.27,2,2.74,
KMT-2020-BLG-0389,SSO14K0107.064331,17:36:34.47,-28:00:25.24,8996.70927,6.77,0.182,21.08,20.0,21.73,2,3.24,
KMT-2020-BLG-0390,SSO14K0201.032500,17:35:52.88,-28:44:11.40,8998.83174,3.35,0.087,20.17,20.0,20.71,2,2.94,
KMT-2020-BLG-0391,SSO14K0504.005416,17:34:14.63,-28:24:54.43,9017.78732,14.28,0.882,18.26,18.27,18.27,2,3.04,
KMT-2020-BLG-0392,SSO14K0804.037048,17:32:23.93,-28:26:18.42,9000.57979,29.42,0.03,20.98,20.0,20.62,2,2.61,
KMT-2020-BLG-0393,SSO14M0202.075714,17:40:42.17,-28:39:45.47,8998.49699,34.84,0.067,22.44,20.0,25.0,3,4.44,
KMT-2020-BLG-0394,SSO14T0105.002942,17:36:39.81,-29:25:09.66,9052.36614,44.0,0.509,17.79,17.82,17.82,2,3.83,
KMT-2020-BLG-0395,SSO15K0301.065495,17:35:30.13,-26:39:27.97,8990.72602,140.04,0.055,23.04,20.0,21.2,2,2.62,
KMT-2020-BLG-0396,SSO15N0101.061963,17:41:22.15,-27:43:50.84,9002.28717,17.87,0.074,21.34,20.0,21.38,2,3.43,
