Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2023-BLG-0001,SAO01M0504.011785,17:56:29.71,-30:37:12.61,60016.33245,5.22,0.495,18.34,18.35,18.35,1,1.94,MB23058
KMT-2023-BLG-0002,BLG01M0707.056807,17:55:31.10,-30:17:06.90,60015.2525,55.19,0.111,19.8,19.73,19.73,1,1.9,MB23046 OB230016
KMT-2023-BLG-0003,SAO01T0108.035310,17:53:44.13,-31:15:05.29,60018.53922,29.14,0.013,19.67,19.57,19.57,1,2.05,MB23047 OB230144
KMT-2023-BLG-0004,BLG01T0208.055144,17:53:26.17,-31:15:32.51,60012.81063,15.13,0.302,19.98,20.0,20.01,1,1.95,
KMT-2023-BLG-0005,BLG01T0302.004346,17:52:36.05,-31:59:22.60,60031.91253,12.63,0.506,16.93,16.91,16.91,1,2.03,MB23068
KMT-2023-BLG-0006,SAO02K0305.057898,17:53:06.37,-28:23:07.22,60011.70632,19.95,0.066,20.15,20.0,20.9,2,2.64,
KMT-2023-BLG-0007,BLG02K0705.011283,17:50:32.38,-28:23:31.13,60009.1091,15.25,0.479,19.64,20.0,20.34,2,5.74,
KMT-2023-BLG-0008,BLG02N0402.055996,17:57:09.84,-29:57:10.19,60012.79153,9.33,0.016,22.96,19.79,19.79,1,1.69,
KMT-2023-BLG-0009,BLG02T0303.086093,17:52:55.99,-29:47:27.89,60016.81158,10.5,0.073,20.08,20.0,20.04,1,1.92,MB23054
KMT-2023-BLG-0010,BLG03M0307.072552,18:05:00.99,-27:00:04.90,60008.35225,7.47,0.159,19.74,19.88,19.88,1,1.17,
KMT-2023-BLG-0011,BLG03M0308.058920,18:04:59.64,-26:56:50.78,60015.21016,30.14,0.276,20.05,19.55,19.55,1,1.1,
KMT-2023-BLG-0012,BLG03M0507.014315,18:04:04.61,-27:02:59.21,60000.24718,38.3,0.046,20.29,18.2,18.2,1,1.32,MB23018
