Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2026-BLG-0001,BLG01K0501.044914,17:51:48.16,-30:58:44.00,61114.12892,93.42,0.006,23.28,19.96,19.96,1,2.23,
KMT-2026-BLG-0002,BLG01M0801.039399,17:54:49.89,-31:00:36.22,61108.73185,11.03,0.086,20.82,19.07,19.07,1,1.25,
KMT-2026-BLG-0003,SAO01N0607.082289,17:55:53.03,-31:24:15.98,61098.12209,8.88,0.207,19.68,20.0,20.64,1,1.47,
KMT-2026-BLG-0004,BLG01T0608.016826,17:51:02.07,-31:11:26.59,61106.61623,7.51,0.105,21.11,19.98,19.98,2,2.77,
KMT-2026-BLG-0005,BLG02K0102.060834,17:53:57.29,-28:49:13.91,61111.88128,21.05,0.089,19.99,20.0,20.17,2,1.93,
KMT-2026-BLG-0006,BLG02M0108.000899,17:58:46.53,-28:00:31.72,61130.88246,45.01,0.741,15.7,15.48,15.48,1,2.44,OB260010
KMT-2026-BLG-0007,SSO02M0405.031679,17:56:52.33,-28:22:10.81,61106.78634,29.32,0.027,21.86,18.99,18.99,1,2.12,
KMT-2026-BLG-0008,BLG02M0407.018451,17:57:06.60,-28:12:25.99,61113.39078,22.02,0.07,19.95,18.47,18.47,1,1.93,OB260170
KMT-2026-BLG-0009,BLG02M0701.052152,17:55:33.10,-28:50:51.83,61109.54813,30.8,0.069,21.5,19.89,19.89,2,1.94,
KMT-2026-BLG-0010,BLG02M0708.016600,17:55:37.13,-28:01:52.68,61109.14807,8.9,0.279,19.77,19.87,19.87,2,2.94,
KMT-2026-BLG-0011,BLG02N0303.032416,17:57:33.45,-29:46:42.60,61118.73481,16.74,0.039,18.83,18.77,18.77,1,1.5,OB260172
KMT-2026-BLG-0012,SAO02N0803.069457,17:54:42.14,-29:47:42.79,61111.29142,74.89,0.035,20.87,19.33,19.33,1,1.35,
