Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2016-BLG-0001,SAO02K0103.022072,17:54:14.09,-28:40:58.91,7549.19296,39.1,0.704,19.05,19.04,19.04,2,2.14,OB160785
KMT-2016-BLG-0002,BLG02K0105.005671,17:54:09.09,-28:25:06.13,7533.68206,6.22,1.0,18.21,17.52,17.52,2,2.48,OB160902
KMT-2016-BLG-0003,SAO02K0105.007856,17:54:03.78,-28:26:34.37,7569.58472,37.21,0.325,20.04,17.91,17.91,2,2.54,OB161052
KMT-2016-BLG-0004,BLG02K0203.015135,17:53:29.68,-28:40:30.68,7567.36853,25.68,0.256,20.76,18.93,18.93,2,2.6,OB161156
KMT-2016-BLG-0005,SSO02K0303.015757,17:53:06.41,-28:36:52.02,7522.98201,141.71,0.002,24.0,20.0,25.0,3,3.09,OB160884
KMT-2016-BLG-0006,SAO02K0406.017651,17:52:25.73,-28:15:17.86,7530.53089,20.34,0.013,20.7,20.0,20.26,2,3.96,OB160901 MB16252
KMT-2016-BLG-0007,SSO02K0504.002812,17:51:38.16,-28:29:35.99,7511.35877,20.41,0.04,19.72,19.21,19.21,2,3.37,MB16221
KMT-2016-BLG-0008,BLG02K0505.007830,17:51:46.73,-28:22:26.36,7467.53629,16.06,0.712,18.31,18.34,18.34,2,3.13,OB160314
KMT-2016-BLG-0009,BLG02M0104.004378,17:59:03.27,-28:32:17.92,7505.67248,51.64,0.852,16.72,16.16,16.16,1,1.41,OB160304 MB16114
KMT-2016-BLG-0010,BLG02M0104.050351,17:58:56.04,-28:33:47.92,7473.56272,27.13,0.7,19.16,19.24,19.24,1,1.45,OB160305
KMT-2016-BLG-0011,SAO02M0108.005159,17:58:40.84,-28:00:00.22,7509.20073,8.11,0.285,19.04,17.2,17.2,1,2.44,OB160790 MB16213
KMT-2016-BLG-0012,SAO02M0202.068202,17:58:18.60,-28:45:11.99,7583.71465,6.68,0.587,19.44,19.48,19.48,1,1.3,OB161338
KMT-2016-BLG-0013,BLG02M0204.052814,17:58:24.28,-28:32:41.39,7488.28961,68.87,0.023,23.18,19.48,19.48,1,1.62,OB160601
KMT-2016-BLG-0014,SSO02M0301.014968,17:57:54.06,-28:52:42.10,7477.74672,136.61,0.055,18.33,17.97,17.97,1,1.15,MB16021
