Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2021-BLG-0039,BLG32N0802.002548,18:11:43.50,-28:52:04.12,9287.70782,12.0,0.579,16.75,16.31,16.31,1,0.56,MB21017
KMT-2021-BLG-0040,SAO34K0207.000224,18:03:11.34,-31:17:04.60,9305.33091,23.99,0.347,14.06,14.01,14.01,1,1.2,
KMT-2021-BLG-0041,SAO34K0704.017128,18:00:01.20,-31:37:38.39,9281.67538,19.61,0.65,18.85,18.87,18.87,1,1.39,
KMT-2021-BLG-0042,BLG35K0203.001426,18:03:26.53,-25:26:37.86,9454.87063,90.92,0.997,17.55,16.81,16.81,2,2.86,
KMT-2021-BLG-0043,SAO35T0408.001368,18:02:19.49,-25:59:54.46,9283.09231,199.93,0.056,19.3,17.67,17.67,2,3.68,
KMT-2021-BLG-0044,BLG38K0101.000029,17:54:26.46,-22:26:57.91,9285.30786,12.06,0.69,14.62,13.11,13.11,4,2.66,
KMT-2021-BLG-0045,BLG41K0404.018029,17:51:59.14,-30:47:51.11,9281.64009,21.09,0.312,18.7,18.67,18.67,1,2.23,
KMT-2021-BLG-0046,SAO41N0601.002982,17:55:33.57,-32:15:57.31,9429.9795,3.89,0.931,18.39,16.58,16.58,1,1.7,
KMT-2021-BLG-0047,BLG42M0207.066877,17:58:03.65,-28:14:48.59,9275.30057,4.62,0.003,19.25,19.75,19.75,1,2.03,
KMT-2021-BLG-0048,BLG01N0301.003627,17:57:45.65,-32:08:19.28,9301.93682,37.88,0.385,16.7,16.88,16.88,1,1.45,MB21020
KMT-2021-BLG-0049,BLG02M0402.010705,17:57:08.97,-28:47:04.20,9293.55339,14.18,0.404,18.1,17.62,17.62,1,1.71,MB21043
KMT-2021-BLG-0050,BLG02M0508.030045,17:56:31.13,-28:01:50.81,9282.26046,25.29,0.494,19.14,19.16,19.16,1,1.83,
KMT-2021-BLG-0051,BLG02M0708.008102,17:55:37.50,-28:01:38.82,9286.89108,36.14,0.107,20.27,18.63,18.63,2,2.94,
KMT-2021-BLG-0052,BLG02N0308.013599,17:57:51.91,-29:05:55.39,9287.42464,8.36,0.354,18.97,17.95,17.95,1,1.41,
KMT-2021-BLG-0053,BLG02T0608.010061,17:51:00.30,-29:08:26.48,9284.75401,2.88,0.052,18.92,18.83,18.83,1,4.44,
KMT-2021-BLG-0054,BLG11T0304.011884,17:25:52.84,-30:36:08.39,9284.84904,4.82,0.275,19.92,20.0,20.32,2,3.1,
KMT-2021-BLG-0055,BLG14K0401.007962,17:34:40.10,-28:45:34.52,9297.74735,42.44,0.549,19.12,19.12,19.12,2,3.32,
KMT-2021-BLG-0056,BLG14M0102.003140,17:41:24.65,-28:37:05.99,9284.99493,65.52,0.836,19.21,19.17,19.17,2,5.45,
KMT-2021-BLG-0057,BLG14T0303.006585,17:35:03.39,-29:41:17.34,9313.9529,41.17,0.23,18.48,18.43,18.43,2,2.89,
KMT-2021-BLG-0058,BLG15M0201.000148,17:40:29.84,-26:37:09.16,9348.35571,125.34,0.311,15.26,15.27,15.27,2,3.08,
KMT-2021-BLG-0059,BLG15T0106.041928,17:36:25.43,-27:09:23.29,9286.94456,35.51,0.129,20.57,20.0,20.04,1,2.49,
KMT-2021-BLG-0060,BLG15T0606.008940,17:33:25.94,-27:11:46.28,9291.75329,24.27,0.324,19.71,19.7,19.7,2,2.57,
KMT-2021-BLG-0061,BLG17N0208.066788,17:48:34.48,-33:23:37.00,9285.31415,20.78,0.024,21.52,20.0,20.67,1,1.73,
KMT-2021-BLG-0062,BLG17T0406.077893,17:42:37.47,-33:38:32.86,9288.39264,18.29,0.284,20.69,20.0,21.89,2,2.63,
KMT-2021-BLG-0063,BLG18K0703.047648,17:42:21.30,-26:19:42.67,9289.61163,13.3,0.064,20.68,20.0,21.04,2,2.99,
KMT-2021-BLG-0064,BLG18T0407.053267,17:43:46.15,-26:55:58.40,9425.95565,0.5,0.09,19.5,20.0,21.61,2,3.19,
KMT-2021-BLG-0065,BLG19K0708.048344,17:42:17.05,-23:40:02.60,9289.52843,22.09,0.203,20.82,20.0,20.66,1,2.05,
KMT-2021-BLG-0066,BLG19T0605.030003,17:42:59.43,-25:13:11.10,9284.58723,9.15,0.197,20.59,19.95,19.95,1,2.65,
KMT-2021-BLG-0067,BLG20K0403.000084,17:44:13.42,-22:07:05.66,9307.19306,18.05,0.4,14.67,14.04,14.04,4,1.73,
KMT-2021-BLG-0068,SSO20N0206.002755,17:49:42.19,-22:51:39.49,9285.24912,31.04,0.083,18.33,16.94,16.94,1,2.15,
KMT-2021-BLG-0069,SAO20N0508.058540,17:48:06.93,-22:42:56.70,9289.57708,24.58,0.118,20.1,20.0,20.53,1,1.7,
KMT-2021-BLG-0070,BLG22M0401.012853,17:57:33.69,-33:04:41.81,9305.00111,44.66,0.502,18.83,18.53,18.53,1,1.26,
KMT-2021-BLG-0071,BLG22N0308.060709,17:57:36.40,-33:20:02.29,9288.21955,48.9,0.052,21.89,20.0,20.55,1,1.21,
KMT-2021-BLG-0072,SAO32K0705.029148,18:07:24.10,-27:22:35.51,9292.29886,74.22,0.024,18.46,18.79,18.79,1,0.98,MB21004
KMT-2021-BLG-0073,BLG32M0402.006934,18:13:58.58,-27:44:17.92,9299.92811,15.83,0.226,17.85,17.44,17.44,1,0.52,MB21036
KMT-2021-BLG-0074,SAO34K0108.007767,18:03:21.99,-31:11:35.92,9286.40309,29.19,0.098,19.88,18.28,18.28,1,1.27,MB21028
KMT-2021-BLG-0075,SAO35T0104.037191,18:03:56.23,-26:24:18.58,9279.21198,6.02,0.399,19.96,20.0,20.96,2,2.94,
KMT-2021-BLG-0076,SSO35T0202.085819,18:03:24.69,-26:43:35.15,9281.86016,31.45,0.048,20.6,20.0,25.0,3,2.02,
KMT-2021-BLG-0077,BLG37N0708.030196,17:45:51.89,-35:27:41.18,9298.79235,32.15,0.078,19.58,19.33,19.33,1,1.24,
KMT-2021-BLG-0078,BLG41N0101.010242,17:58:28.45,-32:15:12.31,9302.22591,73.44,0.116,18.91,18.48,18.48,1,1.44,MB21042
KMT-2021-BLG-0079,BLG42N0408.054447,17:56:46.97,-29:15:39.89,9303.38254,200.0,0.026,20.75,19.53,19.53,1,1.73,MB21041
KMT-2021-BLG-0080,SAO42T0304.004811,17:52:18.99,-29:47:09.10,9292.9223,4.31,0.604,16.44,16.43,16.43,1,2.25,MB21040
KMT-2021-BLG-0081,BLG42T0404.034205,17:51:47.74,-29:43:50.99,9282.64487,13.62,0.412,19.04,19.28,19.28,1,2.72,
KMT-2021-BLG-0082,SSO43K0202.005401,18:00:48.61,-27:49:06.60,9287.75151,8.32,0.987,17.28,16.64,16.64,1,1.67,
KMT-2021-BLG-0083,SSO43K0207.084951,18:00:32.43,-27:09:20.30,9282.03171,44.95,0.048,21.78,20.0,20.66,1,1.91,
KMT-2021-BLG-0084,SSO43K0405.008091,17:59:46.05,-27:25:20.71,9287.19595,14.92,0.009,19.91,17.54,17.54,1,2.15,MB21021
KMT-2021-BLG-0085,BLG43K0502.068963,17:59:06.41,-27:52:21.68,9283.71275,199.16,0.027,23.8,20.0,20.23,1,2.03,
KMT-2021-BLG-0086,SSO43K0607.038447,17:58:36.36,-27:10:44.33,9288.29255,10.9,0.127,20.24,20.0,20.62,2,2.85,
KMT-2021-BLG-0087,BLG43M0108.002068,18:06:00.94,-27:07:17.62,9302.46651,32.78,0.836,15.47,15.5,15.5,1,1.1,
KMT-2021-BLG-0088,BLG43M0207.015725,18:05:27.69,-27:14:01.39,9286.15297,71.23,0.06,22.02,18.06,18.06,1,1.01,
KMT-2021-BLG-0089,SSO43N0704.001758,18:02:37.59,-28:42:07.70,9312.25623,29.91,0.424,15.67,15.28,15.28,1,1.0,MB21023
KMT-2021-BLG-0090,BLG43T0307.072948,18:00:22.74,-28:21:50.80,9287.57334,78.5,0.02,21.84,19.57,19.57,1,1.2,
KMT-2021-BLG-0091,SSO43T0503.083880,17:59:09.90,-28:45:47.70,9412.42278,3.83,0.586,18.42,19.57,19.57,1,1.24,
KMT-2021-BLG-0092,BLG01M0401.086501,17:57:03.79,-31:02:33.00,9297.92169,19.21,0.025,21.39,20.0,20.52,1,1.12,MB21055
KMT-2021-BLG-0093,BLG01N0705.018846,17:55:32.16,-31:36:19.91,9300.67203,23.35,0.088,19.69,18.62,18.62,1,1.36,
KMT-2021-BLG-0094,BLG01T0203.003798,17:53:15.01,-31:52:24.71,9347.52799,49.27,0.318,16.51,16.58,16.58,1,1.78,
KMT-2021-BLG-0095,BLG01T0306.065424,17:52:37.57,-31:28:09.52,9289.53202,22.24,0.18,21.68,20.0,20.71,1,2.37,
KMT-2021-BLG-0096,BLG02M0402.050708,17:57:12.93,-28:45:43.42,9316.71491,78.4,0.204,19.43,19.33,19.33,1,1.71,MB21061
KMT-2021-BLG-0097,SAO03N0307.040201,18:05:19.23,-28:14:23.39,9293.81097,15.01,0.518,18.79,18.77,18.77,1,0.81,
KMT-2021-BLG-0098,BLG04K0702.057850,18:00:00.85,-29:45:12.89,9300.15387,42.89,0.017,20.23,19.43,19.43,1,1.24,
KMT-2021-BLG-0099,BLG04K0703.012017,18:00:11.60,-29:43:54.30,9315.67061,41.76,0.015,18.65,17.92,17.92,1,1.3,MB21051
KMT-2021-BLG-0100,BLG11K0604.006653,17:24:15.64,-29:29:27.38,9289.35675,20.11,0.068,21.61,18.0,18.0,1,1.69,
KMT-2021-BLG-0101,BLG11T0806.028340,17:22:51.06,-30:20:54.67,9302.18575,46.78,0.281,20.42,20.0,20.81,2,2.26,
KMT-2021-BLG-0102,BLG12T0506.005490,17:24:59.27,-28:11:30.80,9287.6047,19.06,0.067,21.57,18.83,18.83,4,1.81,
KMT-2021-BLG-0103,BLG14N0607.011693,17:38:40.52,-29:09:13.93,9293.93691,13.66,0.253,19.87,19.87,19.87,2,4.42,
KMT-2021-BLG-0104,BLG14T0203.093291,17:35:43.24,-29:37:38.68,9308.41704,81.35,0.018,21.64,20.0,21.96,2,3.04,
KMT-2021-BLG-0105,BLG15M0803.015244,17:37:07.52,-26:21:30.49,9296.75747,22.89,0.067,19.83,20.0,20.15,2,2.82,MB21050
KMT-2021-BLG-0106,BLG15N0204.005840,17:40:40.55,-27:23:14.32,9302.33074,11.24,0.625,18.24,18.28,18.28,2,3.22,
KMT-2021-BLG-0107,BLG15N0305.065161,17:40:07.26,-27:19:53.65,9303.33145,47.26,0.098,21.21,20.0,21.3,2,3.04,
KMT-2021-BLG-0108,BLG16M0103.003624,17:41:11.43,-24:19:13.58,9322.72839,21.68,0.434,17.06,17.05,17.05,1,1.56,
KMT-2021-BLG-0109,BLG16T0608.017337,17:33:48.80,-24:44:56.00,9296.70365,7.58,0.431,20.12,20.0,21.01,2,3.07,
KMT-2021-BLG-0110,SAO17K0402.006305,17:42:19.09,-33:00:35.86,9314.30114,41.94,0.629,18.78,18.79,18.79,2,3.24,
KMT-2021-BLG-0111,BLG17T0101.005431,17:44:28.22,-34:14:53.81,9323.85763,26.43,0.24,17.35,17.23,17.23,1,1.73,MB21065
KMT-2021-BLG-0112,BLG17T0607.030917,17:41:15.37,-33:30:00.68,9295.6317,9.28,0.906,19.94,20.0,20.78,3,2.88,
KMT-2021-BLG-0113,BLG18M0501.000120,17:47:59.47,-26:38:32.78,9398.17289,200.0,0.691,15.71,15.35,15.35,2,4.83,
KMT-2021-BLG-0114,SAO18T0704.000647,17:42:20.58,-27:20:27.42,9330.30257,52.36,0.695,16.54,16.55,16.55,2,3.73,
KMT-2021-BLG-0115,BLG19T0207.014958,17:45:06.05,-24:53:25.87,9303.03235,15.31,0.223,19.99,20.0,20.14,2,2.99,
KMT-2021-BLG-0116,BLG19T0805.032167,17:41:30.46,-25:09:11.02,9298.66491,20.62,0.271,20.11,19.91,19.91,1,2.62,
KMT-2021-BLG-0117,BLG22K0806.002064,17:49:41.74,-32:33:26.46,9323.19897,36.91,0.476,17.44,17.46,17.46,2,2.5,
KMT-2021-BLG-0118,BLG32M0105.021757,18:15:49.05,-27:22:12.11,9294.14791,13.85,0.399,18.6,18.7,18.7,1,0.62,
KMT-2021-BLG-0119,BLG33M0402.015685,18:16:00.13,-29:44:38.00,9305.93505,61.43,0.067,19.45,18.83,18.83,1,0.38,
KMT-2021-BLG-0120,BLG35N0405.002121,18:07:00.22,-26:20:24.29,9329.19102,43.61,0.442,16.13,16.16,16.16,1,1.63,MB21060
KMT-2021-BLG-0121,BLG35T0505.009452,18:01:44.45,-26:18:09.65,9295.07957,9.56,0.829,19.16,19.14,19.14,2,2.8,
KMT-2021-BLG-0122,BLG37N0407.043603,17:47:30.20,-35:35:16.19,9300.76045,28.41,0.209,19.97,19.93,19.93,1,0.99,
KMT-2021-BLG-0123,BLG41K0103.023181,17:53:31.98,-30:53:29.29,9294.08941,16.06,0.164,20.17,18.97,18.97,1,1.93,MB21038
KMT-2021-BLG-0124,BLG41K0805.002278,17:49:28.80,-30:38:05.21,9337.04317,42.53,0.243,16.62,16.57,16.57,1,3.34,
KMT-2021-BLG-0125,BLG42K0704.008751,17:50:31.37,-28:36:11.56,9319.89158,73.34,0.007,20.12,20.0,20.27,2,6.45,
KMT-2021-BLG-0126,BLG42M0301.004987,17:57:19.41,-28:57:53.50,9297.07635,109.46,0.028,20.85,16.27,16.27,1,1.53,
KMT-2021-BLG-0127,BLG42M0601.031477,17:55:44.88,-29:04:40.44,9307.38562,54.05,0.098,19.49,19.23,19.23,2,1.62,MB21052
KMT-2021-BLG-0128,BLG42N0403.071732,17:56:56.28,-29:52:26.11,9296.44177,191.98,0.013,22.67,20.0,20.14,1,2.01,
KMT-2021-BLG-0129,BLG42N0507.078225,17:56:08.04,-29:26:32.71,9288.44411,30.85,0.084,22.08,19.9,19.9,1,1.9,
KMT-2021-BLG-0130,SAO43K0702.014717,17:57:44.43,-27:48:54.58,9318.37845,48.76,0.199,19.16,19.14,19.14,2,2.81,MB21067
KMT-2021-BLG-0131,BLG43T0401.022061,17:59:49.99,-29:06:47.02,9316.78303,64.07,0.042,18.45,18.12,18.12,1,0.99,MB21047
KMT-2021-BLG-0132,BLG01K0305.016291,17:52:40.41,-30:31:44.80,9300.26104,4.07,0.312,18.66,18.73,18.73,1,2.49,
KMT-2021-BLG-0133,BLG04M0406.014702,18:06:47.80,-29:14:57.98,9302.95117,17.11,0.131,19.93,18.3,18.3,1,0.93,
KMT-2021-BLG-0134,BLG11K0404.064298,17:25:17.80,-29:31:03.40,9298.57483,13.66,0.022,21.31,20.0,20.55,1,1.82,
KMT-2021-BLG-0135,BLG12N0308.036848,17:30:39.23,-27:58:18.88,9300.63219,10.74,0.018,20.11,20.0,20.42,2,1.94,
KMT-2021-BLG-0136,BLG13N0203.045413,17:38:45.73,-35:08:45.56,9296.8708,17.65,0.038,22.41,20.0,20.91,2,2.3,
KMT-2021-BLG-0137,BLG14T0708.106382,17:32:58.99,-28:58:14.74,9304.94969,65.17,0.034,21.69,20.0,25.0,3,3.08,
KMT-2021-BLG-0138,BLG15K0201.003588,17:35:42.03,-26:37:45.91,9310.46105,31.99,0.944,17.86,17.81,17.81,2,2.52,
KMT-2021-BLG-0139,BLG16N0605.003106,17:38:33.11,-25:13:15.67,9306.26972,199.91,0.018,22.28,18.77,18.77,2,3.8,
KMT-2021-BLG-0140,BLG17M0303.026772,17:48:08.84,-32:49:22.91,9301.11565,20.48,0.2,20.99,20.0,20.56,2,2.56,
KMT-2021-BLG-0141,BLG18K0706.059645,17:42:02.15,-26:02:14.53,9289.83353,9.19,0.026,20.58,20.0,21.32,2,2.89,
KMT-2021-BLG-0142,BLG20M0206.010635,17:49:46.47,-21:50:13.85,9303.35517,53.47,0.186,21.09,19.73,19.73,4,2.88,
KMT-2021-BLG-0143,SAO32M0806.030074,18:11:23.83,-27:09:32.80,9294.1304,24.11,0.014,18.94,18.91,18.91,1,0.91,MB21033
KMT-2021-BLG-0144,BLG41K0706.061093,17:50:00.45,-30:32:18.60,9297.70289,6.52,0.235,20.97,20.0,20.54,1,2.77,
KMT-2021-BLG-0145,BLG41N0101.004969,17:58:32.78,-32:17:45.49,9307.12059,14.43,1.0,17.95,17.62,17.62,1,1.38,
KMT-2021-BLG-0146,BLG41T0405.046490,17:51:58.11,-31:42:55.91,9297.76169,44.83,0.015,23.4,20.0,20.59,1,2.64,
KMT-2021-BLG-0147,BLG42N0405.003009,17:56:53.96,-29:36:45.61,9359.27912,39.0,0.325,15.96,15.93,15.93,1,1.55,MB21085
KMT-2021-BLG-0148,SAO43T0303.027935,18:00:20.23,-28:45:47.41,9308.83433,200.0,0.098,19.95,18.36,18.36,1,1.08,MB21031
KMT-2021-BLG-0149,SAO01T0206.035394,17:53:12.92,-31:33:28.40,9292.77182,10.05,0.002,20.65,19.76,19.76,1,2.12,MB21039
KMT-2021-BLG-0150,BLG12N0204.013702,17:31:33.26,-28:26:26.63,9299.88358,19.99,0.3,20.01,19.56,19.56,2,2.47,
KMT-2021-BLG-0151,BLG13K0106.014337,17:34:21.23,-33:32:30.05,9305.71759,56.3,0.474,20.26,20.0,20.65,2,4.79,
KMT-2021-BLG-0152,BLG14T0805.010238,17:32:07.74,-29:19:38.86,9306.35739,32.06,0.018,19.42,19.23,19.23,2,2.46,
KMT-2021-BLG-0153,BLG15M0103.032855,17:41:11.71,-26:21:12.17,9289.99115,15.77,0.2,21.11,20.0,20.97,2,3.03,
KMT-2021-BLG-0154,BLG15T0608.002274,17:33:38.67,-26:51:49.50,9309.55188,10.43,0.794,17.4,17.4,17.4,2,2.44,MB21070
KMT-2021-BLG-0155,SAO17K0803.003318,17:40:05.48,-32:53:02.69,9300.70995,11.17,0.747,18.78,18.82,18.82,2,4.05,
KMT-2021-BLG-0156,BLG19K0505.022028,17:43:27.62,-23:59:20.62,9290.45004,7.9,0.912,19.39,19.07,19.07,1,1.65,
KMT-2021-BLG-0157,BLG19T0404.012928,17:43:47.42,-25:18:34.13,9380.95902,6.84,0.397,19.93,20.0,20.0,2,3.25,
KMT-2021-BLG-0158,BLG21M0106.049699,17:58:57.44,-34:34:57.40,9433.12278,0.5,0.998,20.51,20.0,20.2,1,0.6,
KMT-2021-BLG-0159,BLG22K0306.014964,17:52:37.03,-32:33:02.02,9301.39398,21.43,0.181,20.5,18.52,18.52,1,1.4,
KMT-2021-BLG-0160,SAO35T0604.004310,18:00:53.58,-26:29:14.28,9292.52635,6.62,0.228,18.18,18.3,18.3,2,3.26,
KMT-2021-BLG-0161,BLG37K0202.029823,17:43:38.05,-35:11:11.08,9292.26779,19.64,0.272,20.58,19.88,19.88,2,1.59,
KMT-2021-BLG-0162,BLG37M0103.002011,17:49:29.67,-34:55:58.51,9329.6168,40.89,0.995,16.34,15.89,15.89,1,0.95,MB21090
KMT-2021-BLG-0163,BLG41T0508.049157,17:51:14.46,-31:22:47.50,9291.45695,16.05,0.01,22.13,20.0,21.25,2,3.07,
KMT-2021-BLG-0164,SAO42K0201.015877,17:52:58.22,-29:00:04.21,9291.8914,129.44,0.129,18.18,18.11,18.11,1,2.59,MB21010
KMT-2021-BLG-0165,SAO42M0207.024409,17:58:04.54,-28:14:39.19,9291.54189,14.58,0.211,18.77,18.67,18.67,1,2.03,MB21034
KMT-2021-BLG-0166,SAO42T0702.053049,17:50:03.90,-30:02:14.57,9292.52309,161.19,0.004,24.42,20.0,21.83,2,3.87,
KMT-2021-BLG-0167,BLG43N0605.079170,18:03:17.20,-28:35:45.31,9294.08487,40.22,0.04,20.47,19.73,19.73,1,0.88,
KMT-2021-BLG-0168,BLG43T0407.012794,17:59:33.55,-28:15:20.92,9331.16409,65.15,0.249,19.5,17.77,17.77,1,1.47,MB21073
KMT-2021-BLG-0169,BLG01K0308.011640,17:52:41.76,-30:06:09.11,9302.42164,145.12,0.038,22.53,17.63,17.63,1,1.59,
KMT-2021-BLG-0170,BLG01M0105.003634,17:58:48.66,-30:33:19.51,9327.37579,27.8,0.999,17.19,16.71,16.71,1,1.96,MB21103
KMT-2021-BLG-0171,BLG01M0408.017990,17:56:58.18,-30:05:34.58,9326.23423,40.66,0.006,18.75,18.4,18.4,1,1.47,
KMT-2021-BLG-0172,BLG01T0105.038883,17:54:07.42,-31:39:13.61,9300.01505,25.33,0.202,21.18,19.65,19.65,1,1.71,
KMT-2021-BLG-0173,BLG04K0101.006367,18:03:17.01,-29:53:23.21,9309.09101,196.94,0.037,21.61,17.13,17.13,1,0.78,
KMT-2021-BLG-0174,BLG04N0801.029129,18:04:30.83,-31:03:01.80,9306.04789,49.03,0.299,20.86,19.88,19.88,1,1.69,
KMT-2021-BLG-0175,BLG04T0705.084424,17:59:41.11,-30:35:04.70,9303.72232,15.13,0.422,19.94,20.0,20.76,1,1.36,
KMT-2021-BLG-0176,BLG11K0304.002672,17:25:37.59,-29:26:28.79,9300.84517,50.67,0.58,18.44,16.52,16.52,1,1.57,
KMT-2021-BLG-0177,BLG11M0302.039060,17:30:41.41,-29:41:29.36,9311.4753,22.82,0.135,20.32,20.0,20.67,2,2.65,
KMT-2021-BLG-0178,BLG14K0508.045598,17:34:06.27,-27:52:56.14,9302.85754,52.67,0.108,22.05,20.0,21.02,2,2.86,
KMT-2021-BLG-0179,BLG14K0803.020304,17:32:12.15,-28:28:05.95,9302.94697,14.11,0.04,20.62,20.0,20.34,2,2.58,
KMT-2021-BLG-0180,BLG15K0202.062637,17:35:41.49,-26:29:20.29,9299.09609,37.94,0.178,21.68,20.0,21.55,2,2.99,
KMT-2021-BLG-0181,BLG15M0206.102412,17:40:48.45,-26:02:43.80,9300.93032,16.37,0.496,21.61,20.0,25.0,3,2.91,
KMT-2021-BLG-0182,BLG19M0806.042463,17:46:29.90,-23:57:56.30,9302.12349,24.59,0.179,21.79,19.89,19.89,1,2.16,
KMT-2021-BLG-0183,BLG19T0202.011052,17:45:16.71,-25:32:28.86,9309.18105,33.04,0.208,20.59,19.58,19.58,2,2.79,
