Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2021-BLG-0001,BLG01K0408.040426,17:52:30.92,-30:08:03.41,9278.72359,16.62,0.2,19.19,19.27,19.27,2,1.77,
KMT-2021-BLG-0002,SAO01K0502.034298,17:51:52.97,-30:51:15.80,9278.86465,40.46,0.01,22.25,19.63,19.63,1,2.29,
KMT-2021-BLG-0003,BLG01K0606.060103,17:50:49.26,-30:25:16.21,9280.57798,20.71,0.073,19.96,20.0,20.53,1,2.65,
KMT-2021-BLG-0004,BLG01K0708.062298,17:50:25.90,-30:11:19.00,9283.01666,9.28,0.026,20.48,20.0,20.77,1,2.93,
KMT-2021-BLG-0005,SAO01M0506.004814,17:56:23.38,-30:24:29.99,9286.60071,49.08,0.147,17.77,17.1,17.1,1,2.31,MB21011
KMT-2021-BLG-0006,BLG01N0101.012747,17:59:00.92,-32:10:18.30,9282.82792,26.39,0.038,19.29,18.89,18.89,1,1.27,MB21016
KMT-2021-BLG-0007,BLG01N0201.010471,17:58:20.08,-32:07:16.90,9290.58153,17.22,0.49,18.55,18.55,18.55,1,1.48,
KMT-2021-BLG-0008,BLG01N0806.046547,17:54:53.80,-31:29:42.90,9281.83223,15.27,0.426,19.42,19.51,19.51,1,1.43,
KMT-2021-BLG-0009,SAO02K0104.004965,17:54:07.17,-28:30:00.00,9309.90534,51.82,0.479,17.16,17.12,17.12,2,2.34,MB21046
KMT-2021-BLG-0010,SSO02K0403.020571,17:52:10.29,-28:39:38.56,9282.50624,29.63,0.116,19.87,19.93,19.93,2,3.39,
KMT-2021-BLG-0011,BLG02K0503.051361,17:51:41.18,-28:35:46.43,9282.43881,16.84,0.047,20.64,20.0,21.89,2,4.02,
KMT-2021-BLG-0012,BLG02N0603.022274,17:55:59.81,-29:48:15.91,9281.13289,15.22,0.023,20.69,18.44,18.44,1,1.8,
KMT-2021-BLG-0013,SAO11K0802.074025,17:22:50.04,-29:40:57.76,9284.3478,39.87,0.064,21.46,20.0,21.7,2,1.87,
KMT-2021-BLG-0014,BLG11N0102.015620,17:31:47.93,-30:48:30.85,9277.68759,29.43,0.278,19.94,20.0,20.4,2,3.23,
KMT-2021-BLG-0015,BLG11N0703.005335,17:28:23.97,-30:39:19.26,9278.8702,57.87,0.258,20.41,19.11,19.11,2,3.45,
KMT-2021-BLG-0016,BLG12N0703.046864,17:28:49.25,-28:35:32.21,9276.64006,4.87,0.429,19.96,20.0,20.52,2,1.83,
KMT-2021-BLG-0017,BLG14K0407.004887,17:34:38.01,-27:58:26.90,9283.30298,38.29,0.116,18.08,18.09,18.09,2,2.89,
KMT-2021-BLG-0018,SAO14M0508.001597,17:38:43.03,-27:56:54.13,9282.95726,9.69,0.692,16.8,16.79,16.79,2,2.87,
KMT-2021-BLG-0019,BLG14T0402.019215,17:34:25.22,-29:44:55.90,9281.04339,16.74,0.118,20.01,20.0,20.05,2,2.98,
KMT-2021-BLG-0020,SAO14T0806.020815,17:32:21.97,-29:17:33.58,9277.39397,12.95,0.002,20.13,20.0,20.06,2,2.38,
KMT-2021-BLG-0021,BLG15K0104.005209,17:36:22.44,-26:16:18.80,9281.84059,9.83,0.432,19.13,19.1,19.1,2,3.11,
KMT-2021-BLG-0022,BLG15K0404.053365,17:34:40.71,-26:18:27.65,9282.77991,18.14,0.041,20.87,20.0,21.53,2,2.79,
KMT-2021-BLG-0023,BLG15N0401.000701,17:39:19.38,-27:43:54.95,9281.85972,35.29,0.172,18.51,16.13,16.13,2,2.79,
KMT-2021-BLG-0024,BLG15N0405.004309,17:39:22.43,-27:17:56.87,9274.71985,45.54,0.186,19.28,17.71,17.71,2,2.61,
KMT-2021-BLG-0025,BLG16M0106.002429,17:41:09.19,-23:53:08.84,9275.99909,31.41,0.219,17.09,17.14,17.14,2,1.71,
KMT-2021-BLG-0026,BLG16M0706.007450,17:38:03.82,-23:53:33.00,9285.00065,27.75,0.192,20.38,18.77,18.77,2,1.62,
KMT-2021-BLG-0027,BLG16M0706.025201,17:37:44.26,-23:56:42.58,9281.96388,14.19,0.135,19.94,19.85,19.85,2,1.65,
KMT-2021-BLG-0028,BLG16N0205.006139,17:40:38.48,-25:10:14.81,9277.98625,19.26,0.401,19.34,18.26,18.26,1,2.5,
KMT-2021-BLG-0029,SAO18T0802.016928,17:41:53.54,-27:39:55.73,9280.22822,17.1,0.08,19.92,19.83,19.83,2,3.67,
KMT-2021-BLG-0030,BLG19M0604.002964,17:47:31.40,-24:08:31.49,9297.12671,31.19,0.056,17.15,17.16,17.16,2,2.39,
KMT-2021-BLG-0031,SAO20T0202.006241,17:44:58.10,-23:23:00.38,9280.50746,43.63,0.395,17.77,17.83,17.83,1,1.59,
KMT-2021-BLG-0032,BLG21T0806.043037,17:49:29.78,-35:44:16.19,9341.56975,1.45,0.72,19.15,19.83,19.83,1,0.95,
KMT-2021-BLG-0033,SAO21T0808.003475,17:49:48.54,-35:30:08.39,9278.2998,29.59,0.47,18.3,17.06,17.06,1,0.89,
KMT-2021-BLG-0034,BLG22K0402.017257,17:52:19.49,-32:57:06.98,9286.65557,19.96,0.22,19.53,18.95,18.95,1,1.71,
KMT-2021-BLG-0035,BLG22N0506.032092,17:56:41.58,-33:37:53.29,9294.03544,34.67,0.073,19.61,19.3,19.3,1,1.03,
KMT-2021-BLG-0036,SAO22T0507.003484,17:51:18.99,-33:26:47.65,9286.82223,21.1,0.09,18.63,17.29,17.29,2,1.69,MB21026
KMT-2021-BLG-0037,SSO31T0202.005217,18:12:36.68,-26:44:32.71,9286.65824,9.83,0.147,17.23,17.26,17.26,1,0.99,MB21014
KMT-2021-BLG-0038,BLG32K0307.013460,18:09:32.78,-27:02:15.40,9282.05426,26.33,0.136,19.34,18.51,18.51,1,1.29,
