MJD,Magnitude,Error,Facility,Filter,Observer
2510741.38521,19.4248,0.0673,CTIO_KMTC42,KMT(I),KMT
2510741.40166,19.4727,0.0753,CTIO_KMTC42,KMT(I),KMT
2510742.3019699994,19.5727,0.0793,CTIO_KMTC42,KMT(I),KMT
2510742.3294399995,19.5354,0.06,CTIO_KMTC42,KMT(I),KMT
2510742.34695,19.6219,0.0669,CTIO_KMTC42,KMT(I),KMT
2510742.36405,19.6829,0.0623,CTIO_KMTC42,KMT(I),KMT
2510742.38141,19.6089,0.0647,CTIO_KMTC42,KMT(I),KMT
2510742.39858,19.7391,0.0736,CTIO_KMTC42,KMT(I),KMT
2510743.30679,19.4748,0.0587,CTIO_KMTC42,KMT(I),KMT
2510743.3255700003,19.3911,0.0553,CTIO_KMTC42,KMT(I),KMT
2510743.34256,19.5377,0.0587,CTIO_KMTC42,KMT(I),KMT
2510743.36206,19.4298,0.0466,CTIO_KMTC42,KMT(I),KMT
2510743.37904,19.4034,0.0477,CTIO_KMTC42,KMT(I),KMT
2510744.2920900006,19.3272,0.0691,CTIO_KMTC42,KMT(I),KMT
2510744.3201199993,19.3113,0.0503,CTIO_KMTC42,KMT(I),KMT
2510744.3370200004,19.3502,0.0453,CTIO_KMTC42,KMT(I),KMT
2510744.35642,19.339,0.0445,CTIO_KMTC42,KMT(I),KMT
2510744.3732699994,19.3796,0.0474,CTIO_KMTC42,KMT(I),KMT
2510744.37567,19.2154,0.0493,CTIO_KMTC42,KMT(I),KMT
2510744.39781,19.3058,0.0428,CTIO_KMTC42,KMT(I),KMT
2510745.29462,19.2446,0.056,CTIO_KMTC42,KMT(I),KMT
2510745.31118,19.2483,0.0552,CTIO_KMTC42,KMT(I),KMT
2510745.32819,19.1263,0.0454,CTIO_KMTC42,KMT(I),KMT
2510745.3453400005,19.1263,0.0395,CTIO_KMTC42,KMT(I),KMT
2510745.3623099998,19.2043,0.0391,CTIO_KMTC42,KMT(I),KMT
2510745.3968400005,19.2151,0.0377,CTIO_KMTC42,KMT(I),KMT
2510745.4136299994,19.1085,0.1034,CTIO_KMTC42,KMT(I),KMT
2510746.28268,19.1828,0.0596,CTIO_KMTC42,KMT(I),KMT
2510746.29985,19.0209,0.0422,CTIO_KMTC42,KMT(I),KMT
2510746.3167000003,19.1348,0.0461,CTIO_KMTC42,KMT(I),KMT
2510746.3334999997,19.1052,0.0449,CTIO_KMTC42,KMT(I),KMT
2510746.36053,19.083,0.0388,CTIO_KMTC42,KMT(I),KMT
2510746.3776399996,19.1191,0.0515,CTIO_KMTC42,KMT(I),KMT
2510746.39764,18.9954,0.0315,CTIO_KMTC42,KMT(I),KMT
2510747.27922,19.0011,0.0459,CTIO_KMTC42,KMT(I),KMT
2510747.29581,19.1226,0.048,CTIO_KMTC42,KMT(I),KMT
2510747.3161500003,19.0455,0.0478,CTIO_KMTC42,KMT(I),KMT
2510747.34738,18.9905,0.0363,CTIO_KMTC42,KMT(I),KMT
2510747.36482,18.9991,0.0349,CTIO_KMTC42,KMT(I),KMT
2510747.3851299994,19.0441,0.0402,CTIO_KMTC42,KMT(I),KMT
2510747.40206,19.0488,0.0601,CTIO_KMTC42,KMT(I),KMT
2510748.2898699995,19.1071,0.0531,CTIO_KMTC42,KMT(I),KMT
2510748.3248200007,19.0783,0.0402,CTIO_KMTC42,KMT(I),KMT
2510748.34148,19.202,0.1134,CTIO_KMTC42,KMT(I),KMT
2510748.35783,19.164,0.0491,CTIO_KMTC42,KMT(I),KMT
2510748.37459,19.5142,2.0901,CTIO_KMTC42,KMT(I),KMT
2510748.3914899994,15.0099,2.9682,CTIO_KMTC42,KMT(I),KMT
2510749.30774,19.0795,0.0909,CTIO_KMTC42,KMT(I),KMT
2510749.3247100003,19.1053,0.072,CTIO_KMTC42,KMT(I),KMT
2510749.3427600004,19.2799,0.057,CTIO_KMTC42,KMT(I),KMT
2510749.3614600003,19.2055,0.0504,CTIO_KMTC42,KMT(I),KMT
2510749.3862299994,19.1611,0.0494,CTIO_KMTC42,KMT(I),KMT
2510749.40953,19.3689,0.0861,CTIO_KMTC42,KMT(I),KMT
2510749.4122400004,19.284,0.0959,CTIO_KMTC42,KMT(I),KMT
2510750.28056,19.3716,0.0666,CTIO_KMTC42,KMT(I),KMT
2510750.30052,19.3255,0.066,CTIO_KMTC42,KMT(I),KMT
2510750.3171800002,19.3089,0.0566,CTIO_KMTC42,KMT(I),KMT
2510750.33376,19.3388,0.0521,CTIO_KMTC42,KMT(I),KMT
2510750.3545200005,19.2995,0.0486,CTIO_KMTC42,KMT(I),KMT
2510750.3785299994,19.3896,0.0507,CTIO_KMTC42,KMT(I),KMT
2510750.3950200006,19.3715,0.0507,CTIO_KMTC42,KMT(I),KMT
2510750.41196,19.3886,0.0934,CTIO_KMTC42,KMT(I),KMT
2510751.27422,19.4188,0.0697,CTIO_KMTC42,KMT(I),KMT
2510751.29136,19.4842,0.0671,CTIO_KMTC42,KMT(I),KMT
2510751.3084500004,19.6893,0.0914,CTIO_KMTC42,KMT(I),KMT
2510751.3386400007,19.4315,0.0582,CTIO_KMTC42,KMT(I),KMT
2510751.35585,19.4205,0.0529,CTIO_KMTC42,KMT(I),KMT
2510751.3727199994,19.5205,0.0583,CTIO_KMTC42,KMT(I),KMT
2510751.39501,19.4798,0.0525,CTIO_KMTC42,KMT(I),KMT
2510751.4154000003,19.4635,0.1077,CTIO_KMTC42,KMT(I),KMT
2510752.26784,19.5419,0.0877,CTIO_KMTC42,KMT(I),KMT
2510752.3030699994,19.6558,0.0922,CTIO_KMTC42,KMT(I),KMT
2510752.3201599997,19.543,0.0667,CTIO_KMTC42,KMT(I),KMT
2510752.3371099997,19.6361,0.0835,CTIO_KMTC42,KMT(I),KMT
2510752.35506,19.5536,0.0874,CTIO_KMTC42,KMT(I),KMT
2510752.3718,19.4919,0.0636,CTIO_KMTC42,KMT(I),KMT
2510752.39528,19.5184,0.0628,CTIO_KMTC42,KMT(I),KMT
2510752.39824,19.542,0.0886,CTIO_KMTC42,KMT(I),KMT
2510753.26643,19.4942,0.0831,CTIO_KMTC42,KMT(I),KMT
2510753.2838400006,19.5653,0.0994,CTIO_KMTC42,KMT(I),KMT
2510753.30098,19.7238,0.0916,CTIO_KMTC42,KMT(I),KMT
2510753.3181299996,19.6652,0.0778,CTIO_KMTC42,KMT(I),KMT
2510753.3472499996,19.6565,0.0775,CTIO_KMTC42,KMT(I),KMT
2510753.3730699997,19.6392,0.0859,CTIO_KMTC42,KMT(I),KMT
2510753.39121,19.6973,0.0706,CTIO_KMTC42,KMT(I),KMT
2510753.40809,19.6429,0.0721,CTIO_KMTC42,KMT(I),KMT
2510754.2722500004,19.556,0.0868,CTIO_KMTC42,KMT(I),KMT
2510754.2889799997,19.6329,0.092,CTIO_KMTC42,KMT(I),KMT
2510754.31645,19.7549,0.0929,CTIO_KMTC42,KMT(I),KMT
2510754.3383399993,19.677,0.08,CTIO_KMTC42,KMT(I),KMT
2510754.3558399994,19.7502,0.0857,CTIO_KMTC42,KMT(I),KMT
2510754.37283,19.6881,0.0741,CTIO_KMTC42,KMT(I),KMT
2510754.3901499994,19.6764,0.0693,CTIO_KMTC42,KMT(I),KMT
2510754.41725,19.8707,0.1887,CTIO_KMTC42,KMT(I),KMT
2510755.2852299996,19.9107,0.1859,CTIO_KMTC42,KMT(I),KMT
2510755.30188,19.8165,0.1544,CTIO_KMTC42,KMT(I),KMT
2510755.3189700004,20.0018,0.1841,CTIO_KMTC42,KMT(I),KMT
2510755.3479699995,19.6708,0.1311,CTIO_KMTC42,KMT(I),KMT
2510755.36439,19.7915,0.1471,CTIO_KMTC42,KMT(I),KMT
2510755.38581,20.0228,0.171,CTIO_KMTC42,KMT(I),KMT
2510755.40962,19.7921,0.1398,CTIO_KMTC42,KMT(I),KMT
2510757.2652899995,19.8516,0.1337,CTIO_KMTC42,KMT(I),KMT
2510757.2890300006,19.6751,0.1007,CTIO_KMTC42,KMT(I),KMT
2510757.3055499997,19.7946,0.1263,CTIO_KMTC42,KMT(I),KMT
2510757.32642,19.9108,0.1379,CTIO_KMTC42,KMT(I),KMT
2510757.3514099997,19.9856,0.1423,CTIO_KMTC42,KMT(I),KMT
2510757.3684400003,20.133,0.1601,CTIO_KMTC42,KMT(I),KMT
2510757.38514,19.8784,0.1194,CTIO_KMTC42,KMT(I),KMT
2510757.4059299994,19.828,0.0927,CTIO_KMTC42,KMT(I),KMT
2510758.2607899997,19.8913,0.1007,CTIO_KMTC42,KMT(I),KMT
2510758.29516,19.8446,0.0972,CTIO_KMTC42,KMT(I),KMT
