MJD,Magnitude,Error,Facility,Filter,Observer
2510726.7375799995,18.1615,0.0897,SSO_KMTA42,KMT(I),KMT
2510726.74954,17.6824,0.0594,SSO_KMTA42,KMT(I),KMT
2510727.7253099997,20.3743,0.6749,SSO_KMTA42,KMT(I),KMT
2510727.7373600006,19.6346,0.2445,SSO_KMTA42,KMT(I),KMT
2510727.7488899995,19.9579,0.2955,SSO_KMTA42,KMT(I),KMT
2510727.76057,19.4233,0.1855,SSO_KMTA42,KMT(I),KMT
2510728.72367,13.6719,0.2546,SSO_KMTA42,KMT(I),KMT
2510728.7427900005,13.6393,0.2599,SSO_KMTA42,KMT(I),KMT
2510728.7547699995,14.1659,0.7035,SSO_KMTA42,KMT(I),KMT
2510728.76662,13.7155,0.3457,SSO_KMTA42,KMT(I),KMT
2510729.7211300004,18.9603,0.1434,SSO_KMTA42,KMT(I),KMT
2510729.7333199997,19.0516,0.1614,SSO_KMTA42,KMT(I),KMT
2510729.74658,19.5565,0.2643,SSO_KMTA42,KMT(I),KMT
2510729.7652400006,19.8494,0.3131,SSO_KMTA42,KMT(I),KMT
2510730.7185500003,20.0237,0.2189,SSO_KMTA42,KMT(I),KMT
2510730.73023,20.38,0.2948,SSO_KMTA42,KMT(I),KMT
2510730.74146,20.1103,0.2004,SSO_KMTA42,KMT(I),KMT
2510730.75313,19.6341,0.1431,SSO_KMTA42,KMT(I),KMT
2510730.7651000004,19.4136,0.1086,SSO_KMTA42,KMT(I),KMT
2510731.7142200004,18.5437,0.1162,SSO_KMTA42,KMT(I),KMT
2510731.7334700003,18.8283,0.1256,SSO_KMTA42,KMT(I),KMT
2510731.7453499995,18.2461,0.0904,SSO_KMTA42,KMT(I),KMT
2510731.75722,18.3391,0.0815,SSO_KMTA42,KMT(I),KMT
2510731.7691099998,18.8474,0.1261,SSO_KMTA42,KMT(I),KMT
2510732.7205599993,20.1184,0.2436,SSO_KMTA42,KMT(I),KMT
2510732.7325100005,19.6473,0.2152,SSO_KMTA42,KMT(I),KMT
2510732.74438,19.2079,0.1197,SSO_KMTA42,KMT(I),KMT
2510732.7636600006,19.8544,0.1945,SSO_KMTA42,KMT(I),KMT
2510732.77546,19.5603,0.1375,SSO_KMTA42,KMT(I),KMT
2510732.7873,19.6538,0.2779,SSO_KMTA42,KMT(I),KMT
2510733.7066200003,18.6399,0.0845,SSO_KMTA42,KMT(I),KMT
2510733.7222099993,19.2316,0.1216,SSO_KMTA42,KMT(I),KMT
2510733.7342499997,19.8623,0.1806,SSO_KMTA42,KMT(I),KMT
2510733.75344,18.9628,0.1013,SSO_KMTA42,KMT(I),KMT
2510733.7653800007,19.3647,0.1271,SSO_KMTA42,KMT(I),KMT
2510733.77738,19.4003,0.1637,SSO_KMTA42,KMT(I),KMT
2510733.78931,19.3672,0.2639,SSO_KMTA42,KMT(I),KMT
2510734.7066,19.5404,0.22,SSO_KMTA42,KMT(I),KMT
2510734.71841,19.6813,0.1439,SSO_KMTA42,KMT(I),KMT
2510734.73774,19.804,0.1924,SSO_KMTA42,KMT(I),KMT
2510734.74935,20.2661,0.1765,SSO_KMTA42,KMT(I),KMT
2510734.7612999994,19.9052,0.1138,SSO_KMTA42,KMT(I),KMT
2510734.7731,19.843,0.1482,SSO_KMTA42,KMT(I),KMT
2510734.78503,19.8526,0.1465,SSO_KMTA42,KMT(I),KMT
2510735.70168,19.828,0.1272,SSO_KMTA42,KMT(I),KMT
2510735.7210099995,18.9005,0.1072,SSO_KMTA42,KMT(I),KMT
2510735.7329,18.8636,0.0779,SSO_KMTA42,KMT(I),KMT
2510735.74479,19.8877,0.1501,SSO_KMTA42,KMT(I),KMT
2510735.7568699997,19.1672,0.093,SSO_KMTA42,KMT(I),KMT
2510735.76891,19.5995,0.1519,SSO_KMTA42,KMT(I),KMT
2510735.7878600005,18.932,0.1431,SSO_KMTA42,KMT(I),KMT
2510736.7044900004,19.5725,0.1561,SSO_KMTA42,KMT(I),KMT
2510736.71638,19.1646,0.106,SSO_KMTA42,KMT(I),KMT
2510736.7283500005,19.5581,0.1418,SSO_KMTA42,KMT(I),KMT
2510736.7401100006,19.4997,0.1005,SSO_KMTA42,KMT(I),KMT
2510736.7519199997,19.872,0.1506,SSO_KMTA42,KMT(I),KMT
2510736.7711999994,19.8181,0.1787,SSO_KMTA42,KMT(I),KMT
2510736.7831500005,19.2705,0.1518,SSO_KMTA42,KMT(I),KMT
2510736.79474,19.7686,0.337,SSO_KMTA42,KMT(I),KMT
2510749.7116800006,17.8544,5.6447,SSO_KMTA42,KMT(I),KMT
2510749.72355,18.7325,0.3181,SSO_KMTA42,KMT(I),KMT
2510749.7588400003,18.3985,3.4611,SSO_KMTA42,KMT(I),KMT
2510749.77816,18.3691,0.6914,SSO_KMTA42,KMT(I),KMT
2510750.75433,17.9302,0.0949,SSO_KMTA42,KMT(I),KMT
2510750.76636,17.0755,0.0465,SSO_KMTA42,KMT(I),KMT
2510750.77836,17.9721,0.0949,SSO_KMTA42,KMT(I),KMT
2510750.79014,17.2956,0.073,SSO_KMTA42,KMT(I),KMT
2510753.73754,19.0341,0.1112,SSO_KMTA42,KMT(I),KMT
2510753.7494099997,18.7813,0.1204,SSO_KMTA42,KMT(I),KMT
2510755.6510300003,19.7279,7.4704,SSO_KMTA42,KMT(I),KMT
2510765.6278300006,18.5565,0.1155,SSO_KMTA42,KMT(I),KMT
2510765.64712,18.8876,0.1589,SSO_KMTA42,KMT(I),KMT
2510765.65914,18.5265,0.1034,SSO_KMTA42,KMT(I),KMT
2510765.76831,19.6631,0.3794,SSO_KMTA42,KMT(I),KMT
2510765.78029,19.0263,0.1414,SSO_KMTA42,KMT(I),KMT
2510765.79222,18.8887,0.144,SSO_KMTA42,KMT(I),KMT
2510767.6262100004,19.3722,0.2638,SSO_KMTA42,KMT(I),KMT
2510767.6453,19.3865,0.1449,SSO_KMTA42,KMT(I),KMT
2510767.6567599997,19.9809,0.3543,SSO_KMTA42,KMT(I),KMT
2510767.6683799997,19.4479,0.1939,SSO_KMTA42,KMT(I),KMT
2510767.68038,19.9881,0.3476,SSO_KMTA42,KMT(I),KMT
2510767.69235,19.3592,0.1831,SSO_KMTA42,KMT(I),KMT
2510767.71175,19.6656,0.2644,SSO_KMTA42,KMT(I),KMT
2510767.7236400004,20.9517,1.1935,SSO_KMTA42,KMT(I),KMT
2510767.73558,19.4031,0.1932,SSO_KMTA42,KMT(I),KMT
2510767.7473600004,20.3343,0.3902,SSO_KMTA42,KMT(I),KMT
2510767.75935,20.1262,0.3212,SSO_KMTA42,KMT(I),KMT
2510767.7790399995,20.2127,0.4061,SSO_KMTA42,KMT(I),KMT
2510767.7910200004,19.2495,0.1554,SSO_KMTA42,KMT(I),KMT
2510767.80301,19.6431,0.255,SSO_KMTA42,KMT(I),KMT
2510768.61665,19.716,0.2304,SSO_KMTA42,KMT(I),KMT
2510768.62861,19.8579,0.324,SSO_KMTA42,KMT(I),KMT
2510768.6405299995,19.7235,0.2415,SSO_KMTA42,KMT(I),KMT
2510768.6597499996,19.708,0.2285,SSO_KMTA42,KMT(I),KMT
2510768.6716399994,19.7636,0.1888,SSO_KMTA42,KMT(I),KMT
2510768.68296,19.9186,0.2856,SSO_KMTA42,KMT(I),KMT
2510768.69432,19.8788,0.2316,SSO_KMTA42,KMT(I),KMT
2510768.70639,20.0563,0.4834,SSO_KMTA42,KMT(I),KMT
2510768.73083,20.3745,0.3931,SSO_KMTA42,KMT(I),KMT
2510768.7426500004,19.3545,0.1696,SSO_KMTA42,KMT(I),KMT
2510768.7542899996,20.7733,0.5283,SSO_KMTA42,KMT(I),KMT
2510768.76602,19.9242,0.1927,SSO_KMTA42,KMT(I),KMT
2510768.7780099995,19.9539,0.2286,SSO_KMTA42,KMT(I),KMT
2510768.78998,19.5983,0.1621,SSO_KMTA42,KMT(I),KMT
2510768.80937,20.2301,0.4208,SSO_KMTA42,KMT(I),KMT
2510769.61187,20.1724,0.3909,SSO_KMTA42,KMT(I),KMT
2510769.6282599997,19.5051,0.1827,SSO_KMTA42,KMT(I),KMT
2510769.6402400006,19.6539,0.1329,SSO_KMTA42,KMT(I),KMT
2510769.65211,19.945,0.2608,SSO_KMTA42,KMT(I),KMT
2510769.66639,19.6765,0.2076,SSO_KMTA42,KMT(I),KMT
2510769.68563,19.6802,0.2568,SSO_KMTA42,KMT(I),KMT
2510769.69764,19.5581,0.1762,SSO_KMTA42,KMT(I),KMT
2510769.70947,19.9299,0.2696,SSO_KMTA42,KMT(I),KMT
2510769.72148,18.7618,0.102,SSO_KMTA42,KMT(I),KMT
2510769.7334700003,18.8573,0.1004,SSO_KMTA42,KMT(I),KMT
2510769.7527799997,19.9276,0.2936,SSO_KMTA42,KMT(I),KMT
2510769.76461,19.2174,0.1785,SSO_KMTA42,KMT(I),KMT
2510769.77654,19.4183,0.1796,SSO_KMTA42,KMT(I),KMT
2510769.7880300004,18.9418,0.1216,SSO_KMTA42,KMT(I),KMT
2510769.7997900005,19.7107,0.2675,SSO_KMTA42,KMT(I),KMT
2510770.6111900005,18.2836,0.0943,SSO_KMTA42,KMT(I),KMT
2510770.6409799997,19.0698,0.2056,SSO_KMTA42,KMT(I),KMT
2510770.6529600006,18.9363,0.1186,SSO_KMTA42,KMT(I),KMT
2510770.6649600007,18.7,0.1324,SSO_KMTA42,KMT(I),KMT
2510770.67636,19.6027,0.2487,SSO_KMTA42,KMT(I),KMT
2510770.6884199996,19.2911,0.1829,SSO_KMTA42,KMT(I),KMT
2510770.7072599996,19.9028,0.3673,SSO_KMTA42,KMT(I),KMT
2510770.7189300004,19.1877,0.1201,SSO_KMTA42,KMT(I),KMT
2510770.7327999994,19.554,0.1762,SSO_KMTA42,KMT(I),KMT
2510770.74472,19.7946,0.2197,SSO_KMTA42,KMT(I),KMT
2510770.75653,19.7187,0.1669,SSO_KMTA42,KMT(I),KMT
2510770.7755999994,19.7285,0.1769,SSO_KMTA42,KMT(I),KMT
2510770.78754,20.402,0.4036,SSO_KMTA42,KMT(I),KMT
2510770.7993400004,19.7386,0.1631,SSO_KMTA42,KMT(I),KMT
2510770.8111499995,19.5517,0.1842,SSO_KMTA42,KMT(I),KMT
2510771.61044,20.1188,0.3119,SSO_KMTA42,KMT(I),KMT
2510771.62376,19.8349,0.1719,SSO_KMTA42,KMT(I),KMT
2510771.64305,19.9291,0.2076,SSO_KMTA42,KMT(I),KMT
2510771.65484,19.9202,0.2679,SSO_KMTA42,KMT(I),KMT
2510771.6668500006,20.3337,0.3544,SSO_KMTA42,KMT(I),KMT
2510771.67885,19.726,0.1552,SSO_KMTA42,KMT(I),KMT
2510771.6908100005,20.029,0.2541,SSO_KMTA42,KMT(I),KMT
2510771.71007,19.9118,0.1509,SSO_KMTA42,KMT(I),KMT
2510771.72193,21.0059,1.0785,SSO_KMTA42,KMT(I),KMT
2510771.7338299993,20.1803,0.2742,SSO_KMTA42,KMT(I),KMT
2510771.7458999995,19.7629,0.1714,SSO_KMTA42,KMT(I),KMT
2510771.75763,20.1435,0.2313,SSO_KMTA42,KMT(I),KMT
2510771.7696199995,19.8441,0.163,SSO_KMTA42,KMT(I),KMT
