MJD,Magnitude,Error,Facility,Filter,Observer
2510750.1041899994,18.9794,0.0765,SAAO_KMTS42,KMT(I),KMT
2510750.1156399995,19.1598,0.0724,SAAO_KMTS42,KMT(I),KMT
2510750.12739,19.1179,0.0753,SAAO_KMTS42,KMT(I),KMT
2510750.1295599993,18.9402,0.084,SAAO_KMTS42,KMT(I),KMT
2510750.1424400005,19.2471,0.0832,SAAO_KMTS42,KMT(I),KMT
2510752.0265800003,19.1787,0.1134,SAAO_KMTS42,KMT(I),KMT
2510752.0385599993,19.3248,0.1087,SAAO_KMTS42,KMT(I),KMT
2510752.0501700006,19.3409,0.1027,SAAO_KMTS42,KMT(I),KMT
2510752.06207,19.3655,0.132,SAAO_KMTS42,KMT(I),KMT
2510752.0736500006,19.5096,0.1014,SAAO_KMTS42,KMT(I),KMT
2510752.09289,19.4255,0.0983,SAAO_KMTS42,KMT(I),KMT
2510752.1046900004,19.4225,0.0793,SAAO_KMTS42,KMT(I),KMT
2510752.1164299995,19.405,0.0822,SAAO_KMTS42,KMT(I),KMT
2510752.1278799996,19.4285,0.1085,SAAO_KMTS42,KMT(I),KMT
2510752.13935,19.4749,0.0876,SAAO_KMTS42,KMT(I),KMT
2510752.1585,19.406,0.1268,SAAO_KMTS42,KMT(I),KMT
2510753.02535,20.0314,0.1928,SAAO_KMTS42,KMT(I),KMT
2510753.03661,19.6182,0.133,SAAO_KMTS42,KMT(I),KMT
2510753.0484500006,19.8364,0.171,SAAO_KMTS42,KMT(I),KMT
2510753.06362,19.4483,0.1274,SAAO_KMTS42,KMT(I),KMT
2510753.0753300004,19.5475,0.1326,SAAO_KMTS42,KMT(I),KMT
2510753.09473,19.5111,0.1661,SAAO_KMTS42,KMT(I),KMT
2510753.1065800004,19.6622,0.1311,SAAO_KMTS42,KMT(I),KMT
2510753.11809,19.507,0.0939,SAAO_KMTS42,KMT(I),KMT
2510753.12992,19.3142,0.089,SAAO_KMTS42,KMT(I),KMT
2510753.14176,19.3494,0.0939,SAAO_KMTS42,KMT(I),KMT
2510754.02044,19.3535,0.139,SAAO_KMTS42,KMT(I),KMT
2510754.0334799998,19.4939,0.144,SAAO_KMTS42,KMT(I),KMT
2510754.0450299997,19.8617,0.8823,SAAO_KMTS42,KMT(I),KMT
2510754.05707,20.2731,0.6331,SAAO_KMTS42,KMT(I),KMT
