MJD,Magnitude,Error,Facility,Filter,Observer
2510729.0994799994,20.4146,1.1312,SAAO_KMTS02,KMT(I),KMT
2510733.08478,19.4937,0.1189,SAAO_KMTS02,KMT(I),KMT
2510733.10415,19.7759,0.119,SAAO_KMTS02,KMT(I),KMT
2510733.11591,19.5972,0.1132,SAAO_KMTS02,KMT(I),KMT
2510733.1278300006,20.2798,0.2581,SAAO_KMTS02,KMT(I),KMT
2510737.0769299995,19.4855,0.1236,SAAO_KMTS02,KMT(I),KMT
2510737.08933,19.7088,0.1521,SAAO_KMTS02,KMT(I),KMT
2510737.11178,19.769,0.1071,SAAO_KMTS02,KMT(I),KMT
2510737.1275200006,19.9414,0.1499,SAAO_KMTS02,KMT(I),KMT
2510738.0737500004,19.3541,0.1284,SAAO_KMTS02,KMT(I),KMT
2510738.0851600002,19.4136,0.0976,SAAO_KMTS02,KMT(I),KMT
2510738.0967500005,19.6148,0.1249,SAAO_KMTS02,KMT(I),KMT
2510738.11627,19.62,0.1091,SAAO_KMTS02,KMT(I),KMT
2510738.1282400005,19.6117,0.129,SAAO_KMTS02,KMT(I),KMT
2510738.14011,20.0086,0.1867,SAAO_KMTS02,KMT(I),KMT
2510739.10838,19.9326,0.1832,SAAO_KMTS02,KMT(I),KMT
2510739.12019,19.5395,0.1068,SAAO_KMTS02,KMT(I),KMT
2510740.06107,19.698,0.1352,SAAO_KMTS02,KMT(I),KMT
2510740.0726200007,19.5614,0.118,SAAO_KMTS02,KMT(I),KMT
2510740.0842199996,19.6768,0.1024,SAAO_KMTS02,KMT(I),KMT
2510740.09585,19.8844,0.1484,SAAO_KMTS02,KMT(I),KMT
2510740.10759,19.6699,0.1087,SAAO_KMTS02,KMT(I),KMT
2510740.12615,19.5561,0.0839,SAAO_KMTS02,KMT(I),KMT
2510740.1376900002,19.3994,0.1057,SAAO_KMTS02,KMT(I),KMT
2510740.1493999995,19.5872,0.303,SAAO_KMTS02,KMT(I),KMT
2510743.05628,19.4822,0.118,SAAO_KMTS02,KMT(I),KMT
2510743.0678400006,19.2053,0.0913,SAAO_KMTS02,KMT(I),KMT
2510743.07957,19.3266,0.1416,SAAO_KMTS02,KMT(I),KMT
2510743.0995300002,19.6123,0.0796,SAAO_KMTS02,KMT(I),KMT
2510743.1113,19.4054,0.0777,SAAO_KMTS02,KMT(I),KMT
2510743.1229100004,19.4706,0.0747,SAAO_KMTS02,KMT(I),KMT
2510743.1345099993,19.3237,0.0821,SAAO_KMTS02,KMT(I),KMT
2510743.14607,19.3508,0.0748,SAAO_KMTS02,KMT(I),KMT
2510744.05961,19.5126,0.1212,SAAO_KMTS02,KMT(I),KMT
2510744.07125,19.1447,0.0958,SAAO_KMTS02,KMT(I),KMT
2510744.0831000004,19.1392,0.0736,SAAO_KMTS02,KMT(I),KMT
2510744.0951499995,19.1077,0.085,SAAO_KMTS02,KMT(I),KMT
2510744.1072000004,19.0835,0.0896,SAAO_KMTS02,KMT(I),KMT
2510744.1378499996,19.3569,0.0995,SAAO_KMTS02,KMT(I),KMT
2510744.1497399993,19.3175,0.0972,SAAO_KMTS02,KMT(I),KMT
2510745.04937,19.132,0.0948,SAAO_KMTS02,KMT(I),KMT
2510745.0610499997,19.0182,0.0854,SAAO_KMTS02,KMT(I),KMT
2510746.0479000006,18.9084,0.0824,SAAO_KMTS02,KMT(I),KMT
2510746.0662699994,18.9549,0.0885,SAAO_KMTS02,KMT(I),KMT
2510746.0779999997,19.306,0.1169,SAAO_KMTS02,KMT(I),KMT
2510746.08988,19.1134,0.086,SAAO_KMTS02,KMT(I),KMT
2510746.10174,18.9379,0.058,SAAO_KMTS02,KMT(I),KMT
2510746.1246799994,19.1161,0.0489,SAAO_KMTS02,KMT(I),KMT
2510746.1438100003,19.007,0.0683,SAAO_KMTS02,KMT(I),KMT
2510746.1556599997,18.7077,0.1261,SAAO_KMTS02,KMT(I),KMT
2510747.0427199993,18.996,0.0907,SAAO_KMTS02,KMT(I),KMT
2510747.0544,18.9879,0.0856,SAAO_KMTS02,KMT(I),KMT
2510747.06606,18.8653,0.0638,SAAO_KMTS02,KMT(I),KMT
2510747.0776499994,18.8916,0.0611,SAAO_KMTS02,KMT(I),KMT
2510747.0968900006,18.9116,0.0604,SAAO_KMTS02,KMT(I),KMT
2510747.1086,18.9375,0.0646,SAAO_KMTS02,KMT(I),KMT
2510747.1205700003,18.9753,0.0663,SAAO_KMTS02,KMT(I),KMT
2510747.1322799996,18.7646,0.0517,SAAO_KMTS02,KMT(I),KMT
2510747.14398,18.8876,0.0439,SAAO_KMTS02,KMT(I),KMT
2510749.0479499996,19.2843,0.1106,SAAO_KMTS02,KMT(I),KMT
2510749.05939,18.991,0.0693,SAAO_KMTS02,KMT(I),KMT
2510749.0710899998,18.8884,0.0748,SAAO_KMTS02,KMT(I),KMT
2510749.0829300005,19.1005,0.0999,SAAO_KMTS02,KMT(I),KMT
2510749.09464,19.2207,0.0959,SAAO_KMTS02,KMT(I),KMT
2510749.11457,18.9508,0.0587,SAAO_KMTS02,KMT(I),KMT
2510749.1259899996,18.9642,0.062,SAAO_KMTS02,KMT(I),KMT
2510749.1375699993,18.9498,0.0737,SAAO_KMTS02,KMT(I),KMT
2510749.1495699994,19.0688,0.0722,SAAO_KMTS02,KMT(I),KMT
2510750.06594,19.1449,0.1046,SAAO_KMTS02,KMT(I),KMT
2510750.0846299995,18.9515,0.0774,SAAO_KMTS02,KMT(I),KMT
2510750.0963199995,19.4385,0.1486,SAAO_KMTS02,KMT(I),KMT
2510750.10989,19.2385,0.0961,SAAO_KMTS02,KMT(I),KMT
2510750.12127,19.1865,0.0761,SAAO_KMTS02,KMT(I),KMT
2510750.13531,19.0902,0.0777,SAAO_KMTS02,KMT(I),KMT
2510750.15551,19.0724,0.0938,SAAO_KMTS02,KMT(I),KMT
2510752.03257,19.1993,0.1168,SAAO_KMTS02,KMT(I),KMT
2510752.04442,19.3581,0.1058,SAAO_KMTS02,KMT(I),KMT
2510752.05604,19.3978,0.1178,SAAO_KMTS02,KMT(I),KMT
2510752.06779,19.4331,0.1046,SAAO_KMTS02,KMT(I),KMT
2510752.0796499997,19.5223,0.1272,SAAO_KMTS02,KMT(I),KMT
2510752.0988100003,19.4084,0.08,SAAO_KMTS02,KMT(I),KMT
2510752.1107,19.5868,0.1193,SAAO_KMTS02,KMT(I),KMT
2510752.1220900007,19.4667,0.1062,SAAO_KMTS02,KMT(I),KMT
2510752.1335700005,19.3796,0.095,SAAO_KMTS02,KMT(I),KMT
2510752.14535,19.7215,0.1183,SAAO_KMTS02,KMT(I),KMT
2510753.03116,19.8395,0.2086,SAAO_KMTS02,KMT(I),KMT
2510753.04261,19.4435,0.1465,SAAO_KMTS02,KMT(I),KMT
2510753.05408,19.4868,0.1253,SAAO_KMTS02,KMT(I),KMT
2510753.0696399994,19.4176,0.1138,SAAO_KMTS02,KMT(I),KMT
2510753.08137,19.5569,0.1407,SAAO_KMTS02,KMT(I),KMT
2510753.1007400006,19.4609,0.1132,SAAO_KMTS02,KMT(I),KMT
2510753.1124099996,19.6274,0.1294,SAAO_KMTS02,KMT(I),KMT
2510753.12393,19.6451,0.1032,SAAO_KMTS02,KMT(I),KMT
2510753.1359199993,19.6651,0.1171,SAAO_KMTS02,KMT(I),KMT
2510753.14776,19.39,0.088,SAAO_KMTS02,KMT(I),KMT
2510754.0264299996,19.8247,0.4025,SAAO_KMTS02,KMT(I),KMT
2510754.0391799994,19.621,0.1911,SAAO_KMTS02,KMT(I),KMT
2510754.0510600004,19.7303,0.2105,SAAO_KMTS02,KMT(I),KMT
2510754.09719,18.1523,0.3545,SAAO_KMTS02,KMT(I),KMT
2510754.1090399995,19.9135,0.2362,SAAO_KMTS02,KMT(I),KMT
2510754.12113,19.9347,0.3004,SAAO_KMTS02,KMT(I),KMT
2510754.1330200005,19.5953,0.0936,SAAO_KMTS02,KMT(I),KMT
2510754.14477,19.7365,0.1508,SAAO_KMTS02,KMT(I),KMT
2510758.0247,19.7331,0.1583,SAAO_KMTS02,KMT(I),KMT
2510758.03637,19.5474,0.1027,SAAO_KMTS02,KMT(I),KMT
2510758.0478600003,19.6981,0.105,SAAO_KMTS02,KMT(I),KMT
2510758.05937,19.686,0.0927,SAAO_KMTS02,KMT(I),KMT
2510758.0710899998,19.8876,0.1398,SAAO_KMTS02,KMT(I),KMT
2510758.09014,19.815,0.1074,SAAO_KMTS02,KMT(I),KMT
2510758.10207,19.8288,0.1477,SAAO_KMTS02,KMT(I),KMT
2510758.11384,19.7777,0.1431,SAAO_KMTS02,KMT(I),KMT
2510758.12557,19.7536,0.1491,SAAO_KMTS02,KMT(I),KMT
2510758.13743,20.024,0.1502,SAAO_KMTS02,KMT(I),KMT
2510758.1566400006,19.5632,0.1023,SAAO_KMTS02,KMT(I),KMT
2510759.0133999996,19.5,0.1404,SAAO_KMTS02,KMT(I),KMT
2510759.0253,20.2011,0.2747,SAAO_KMTS02,KMT(I),KMT
2510759.0272700004,19.4336,0.1281,SAAO_KMTS02,KMT(I),KMT
2510760.0099100005,19.692,0.1414,SAAO_KMTS02,KMT(I),KMT
2510760.02499,19.6095,0.1406,SAAO_KMTS02,KMT(I),KMT
2510760.03668,19.6446,0.1172,SAAO_KMTS02,KMT(I),KMT
2510760.04851,19.9648,0.1295,SAAO_KMTS02,KMT(I),KMT
2510760.0678199995,19.9831,0.1687,SAAO_KMTS02,KMT(I),KMT
2510760.07962,19.77,0.1203,SAAO_KMTS02,KMT(I),KMT
2510760.09146,19.8574,0.1287,SAAO_KMTS02,KMT(I),KMT
2510760.10329,20.3223,0.2557,SAAO_KMTS02,KMT(I),KMT
2510760.11556,20.1228,0.187,SAAO_KMTS02,KMT(I),KMT
2510760.1355600003,19.8031,0.1011,SAAO_KMTS02,KMT(I),KMT
2510760.14817,19.819,0.1007,SAAO_KMTS02,KMT(I),KMT
2510761.00684,19.2531,0.1136,SAAO_KMTS02,KMT(I),KMT
2510761.01863,19.5876,0.1594,SAAO_KMTS02,KMT(I),KMT
2510761.03034,19.1725,0.0912,SAAO_KMTS02,KMT(I),KMT
2510761.0495999996,19.6325,0.1478,SAAO_KMTS02,KMT(I),KMT
2510762.0963000003,19.6504,0.1041,SAAO_KMTS02,KMT(I),KMT
2510762.10764,19.8129,0.115,SAAO_KMTS02,KMT(I),KMT
2510762.1196100004,19.8548,0.1234,SAAO_KMTS02,KMT(I),KMT
2510763.00767,20.1456,0.2189,SAAO_KMTS02,KMT(I),KMT
2510763.0193600003,19.7267,0.126,SAAO_KMTS02,KMT(I),KMT
2510763.0393700004,19.8047,0.0959,SAAO_KMTS02,KMT(I),KMT
2510763.05554,19.9341,0.1016,SAAO_KMTS02,KMT(I),KMT
2510763.0720000006,19.687,0.1013,SAAO_KMTS02,KMT(I),KMT
2510763.0836999994,19.6819,0.1106,SAAO_KMTS02,KMT(I),KMT
2510763.0953199994,19.7826,0.0781,SAAO_KMTS02,KMT(I),KMT
2510763.1142100003,19.813,0.0962,SAAO_KMTS02,KMT(I),KMT
