MJD,Magnitude,Error,Facility,Filter,Observer
2510707.3845000006,20.6534,2.5155,CTIO_KMTC02,KMT(I),KMT
2510708.38633,19.6547,0.4002,CTIO_KMTC02,KMT(I),KMT
2510709.3848599996,19.9679,0.4367,CTIO_KMTC02,KMT(I),KMT
2510710.3868499994,19.8793,0.3142,CTIO_KMTC02,KMT(I),KMT
2510712.39073,20.438,1.6403,CTIO_KMTC02,KMT(I),KMT
2510715.3901199996,19.6389,0.1635,CTIO_KMTC02,KMT(I),KMT
2510716.39035,19.5449,0.3202,CTIO_KMTC02,KMT(I),KMT
2510717.39049,20.0889,0.2081,CTIO_KMTC02,KMT(I),KMT
2510718.39523,20.401,0.5145,CTIO_KMTC02,KMT(I),KMT
2510719.39279,19.8086,0.274,CTIO_KMTC02,KMT(I),KMT
2510726.3372799996,20.0867,0.1337,CTIO_KMTC02,KMT(I),KMT
2510726.37117,20.3304,0.1596,CTIO_KMTC02,KMT(I),KMT
2510727.33163,19.8516,0.1502,CTIO_KMTC02,KMT(I),KMT
2510727.36032,20.0806,0.1398,CTIO_KMTC02,KMT(I),KMT
2510727.3771199994,20.032,0.1251,CTIO_KMTC02,KMT(I),KMT
2510728.3328600004,20.8941,0.894,CTIO_KMTC02,KMT(I),KMT
2510728.3497199994,20.1399,0.3507,CTIO_KMTC02,KMT(I),KMT
2510728.3702099994,20.4295,0.4484,CTIO_KMTC02,KMT(I),KMT
2510729.3301100004,20.3454,0.2592,CTIO_KMTC02,KMT(I),KMT
2510729.34848,20.1737,0.1937,CTIO_KMTC02,KMT(I),KMT
2510729.36106,19.8254,0.1265,CTIO_KMTC02,KMT(I),KMT
2510729.36955,20.0094,0.1485,CTIO_KMTC02,KMT(I),KMT
2510730.3326399997,19.9659,0.1629,CTIO_KMTC02,KMT(I),KMT
2510730.34951,20.2654,0.1715,CTIO_KMTC02,KMT(I),KMT
2510730.37675,20.234,0.1524,CTIO_KMTC02,KMT(I),KMT
2510731.3209000006,20.2674,0.1411,CTIO_KMTC02,KMT(I),KMT
2510731.3433999997,20.2833,0.1533,CTIO_KMTC02,KMT(I),KMT
2510731.36381,20.1885,0.1277,CTIO_KMTC02,KMT(I),KMT
2510731.3804100007,20.1094,0.1043,CTIO_KMTC02,KMT(I),KMT
2510732.3186799996,19.9083,0.0881,CTIO_KMTC02,KMT(I),KMT
2510732.3352300003,20.0144,0.0925,CTIO_KMTC02,KMT(I),KMT
2510732.3624099996,19.9651,0.0874,CTIO_KMTC02,KMT(I),KMT
2510732.37914,20.168,0.1225,CTIO_KMTC02,KMT(I),KMT
2510732.3957400005,19.8484,0.0776,CTIO_KMTC02,KMT(I),KMT
2510733.3284300007,20.1261,0.1309,CTIO_KMTC02,KMT(I),KMT
2510733.3457500003,20.0247,0.1186,CTIO_KMTC02,KMT(I),KMT
2510733.3630800005,20.12,0.1217,CTIO_KMTC02,KMT(I),KMT
2510733.3866300005,19.9936,0.0866,CTIO_KMTC02,KMT(I),KMT
2510734.32209,20.2398,0.1553,CTIO_KMTC02,KMT(I),KMT
2510734.3843900003,20.3973,0.3286,CTIO_KMTC02,KMT(I),KMT
2510734.4011000004,20.1913,0.1853,CTIO_KMTC02,KMT(I),KMT
2510735.32314,20.2307,0.1299,CTIO_KMTC02,KMT(I),KMT
2510735.3468699995,20.0017,0.1091,CTIO_KMTC02,KMT(I),KMT
2510735.3632999994,20.1441,0.1083,CTIO_KMTC02,KMT(I),KMT
2510735.38263,20.0749,0.1101,CTIO_KMTC02,KMT(I),KMT
2510735.39944,19.9265,0.0909,CTIO_KMTC02,KMT(I),KMT
2510736.3200700004,19.5689,0.1045,CTIO_KMTC02,KMT(I),KMT
2510736.3514600005,20.0528,0.1344,CTIO_KMTC02,KMT(I),KMT
2510736.3541400004,19.9075,0.1209,CTIO_KMTC02,KMT(I),KMT
2510736.3695400003,19.8231,0.107,CTIO_KMTC02,KMT(I),KMT
2510736.38767,20.0356,0.1105,CTIO_KMTC02,KMT(I),KMT
2510736.4048500005,19.9335,0.1012,CTIO_KMTC02,KMT(I),KMT
2510737.3181999996,19.9058,0.1146,CTIO_KMTC02,KMT(I),KMT
2510737.3452400006,19.921,0.0946,CTIO_KMTC02,KMT(I),KMT
2510737.36367,19.8861,0.0859,CTIO_KMTC02,KMT(I),KMT
2510737.38191,19.9462,0.0855,CTIO_KMTC02,KMT(I),KMT
2510737.4001899995,19.8878,0.0907,CTIO_KMTC02,KMT(I),KMT
2510738.318,19.9329,0.1115,CTIO_KMTC02,KMT(I),KMT
2510738.33818,19.9508,0.1139,CTIO_KMTC02,KMT(I),KMT
2510738.36324,19.8612,0.1035,CTIO_KMTC02,KMT(I),KMT
2510738.3881199993,20.0074,0.0978,CTIO_KMTC02,KMT(I),KMT
2510738.40725,19.84,0.093,CTIO_KMTC02,KMT(I),KMT
2510739.3026100006,19.9092,0.1025,CTIO_KMTC02,KMT(I),KMT
2510739.3194200005,20.0696,0.103,CTIO_KMTC02,KMT(I),KMT
2510739.33937,19.9584,0.0893,CTIO_KMTC02,KMT(I),KMT
2510739.36732,19.9347,0.1063,CTIO_KMTC02,KMT(I),KMT
2510739.3848199993,19.8348,0.0762,CTIO_KMTC02,KMT(I),KMT
2510739.4022199996,19.765,0.0818,CTIO_KMTC02,KMT(I),KMT
2510740.3085399996,19.8772,0.0972,CTIO_KMTC02,KMT(I),KMT
2510740.32517,19.8196,0.0879,CTIO_KMTC02,KMT(I),KMT
2510740.3280100003,19.8014,0.088,CTIO_KMTC02,KMT(I),KMT
2510740.3546,19.8071,0.0809,CTIO_KMTC02,KMT(I),KMT
2510740.35728,19.8997,0.0963,CTIO_KMTC02,KMT(I),KMT
2510740.37435,19.9016,0.0872,CTIO_KMTC02,KMT(I),KMT
2510740.3915800005,19.7978,0.0704,CTIO_KMTC02,KMT(I),KMT
2510740.4097000007,19.4942,0.1568,CTIO_KMTC02,KMT(I),KMT
2510740.41242,19.9253,0.3693,CTIO_KMTC02,KMT(I),KMT
2510741.29748,19.5693,0.096,CTIO_KMTC02,KMT(I),KMT
2510741.3145000003,19.6511,0.093,CTIO_KMTC02,KMT(I),KMT
2510741.3421100006,19.7388,0.0917,CTIO_KMTC02,KMT(I),KMT
2510741.3587800004,19.9337,0.1088,CTIO_KMTC02,KMT(I),KMT
2510741.37694,19.8435,0.1037,CTIO_KMTC02,KMT(I),KMT
2510741.3933700006,19.8207,0.0921,CTIO_KMTC02,KMT(I),KMT
2510741.41168,20.2273,0.3198,CTIO_KMTC02,KMT(I),KMT
2510742.2935000006,19.6656,0.075,CTIO_KMTC02,KMT(I),KMT
2510742.3136400003,19.6119,0.0663,CTIO_KMTC02,KMT(I),KMT
2510742.3380999994,19.6825,0.067,CTIO_KMTC02,KMT(I),KMT
2510742.3556500003,19.7107,0.0721,CTIO_KMTC02,KMT(I),KMT
2510742.37285,19.7254,0.0636,CTIO_KMTC02,KMT(I),KMT
2510742.38997,19.562,0.0732,CTIO_KMTC02,KMT(I),KMT
2510742.41055,19.5781,0.0763,CTIO_KMTC02,KMT(I),KMT
2510743.29096,19.6044,0.0692,CTIO_KMTC02,KMT(I),KMT
2510743.3171800002,19.6144,0.0672,CTIO_KMTC02,KMT(I),KMT
2510743.33407,19.5068,0.0516,CTIO_KMTC02,KMT(I),KMT
2510743.3538799994,19.4582,0.0456,CTIO_KMTC02,KMT(I),KMT
2510743.3703300003,19.4928,0.0475,CTIO_KMTC02,KMT(I),KMT
2510743.39257,19.4623,0.0448,CTIO_KMTC02,KMT(I),KMT
